      6    291         itext   idata
 Output of the Ioffe code for BSk

 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]
   1422664903217.0859        1.6547261385462482E+030   8.5674824567155076E-004   426.73397031000002        126.06107233000000        42.926260669999998     
   1354918955444.8438        1.5899088514512262E+030   8.1595071016338173E-004   412.60237517000002        125.47405550000001        42.797207829999998     
   1290399005185.5654        1.5292389410099546E+030   7.7709591444131585E-004   398.78190542999999        124.89459217000000        42.665355570000003     
   1228951433510.0623        1.4724287444370037E+030   7.4009134708696747E-004   385.27304456000002        124.32144897000001        42.530607889999999     
   1170429936676.2498        1.4192133065227092E+030   7.0484890198758803E-004   372.07583489000001        123.75341254999999        42.392865020000002     
   1114695177786.9045        1.3693492396721900E+030   6.7128466855960770E-004   359.18989914000002        123.18928823000000        42.252023540000003     
   1061614455035.1472        1.3226137053391904E+030   6.3931873196153115E-004   346.61446169999999        122.62789884000000        42.107976409999999     
   1011061385747.7592        1.2788034300331204E+030   6.0887498282050578E-004   334.34836953000001        122.06808352000000        41.960613180000003     
   962915605474.05627        1.2377336075489978E+030   5.7988093601952931E-004   322.39011276999997        121.50869671000000        41.809820010000003     
   917062481403.86304        1.1992364517127502E+030   5.5226755811383743E-004   310.73784484999999        120.94860715000000        41.655479819999996     
   873392839432.25049        1.1631590424385361E+030   5.2596910296555941E-004   299.38940230999998        120.38669702000000        41.497472389999999     
   831802704221.19092        1.1293599445169209E+030   5.0092295520529464E-004   288.34232413000001        119.82186107000000        41.335674439999998     
   792193051639.22937        1.0977038720315913E+030   4.7706948114789962E-004   277.59387061000001        119.25300588000000        41.169959810000002     
   754469572989.74219        1.0680534408733971E+030   4.5435188680752344E-004   267.14104179999998        118.67904918000001        41.000199469999998     
   718542450466.42114        1.0402568657690563E+030   4.3271608267383185E-004   256.98059540999998        118.09891921000001        40.826261719999998     
   684326143301.35339        1.0141304840152828E+030   4.1211055492745884E-004   247.10906428000001        117.51155419000000        40.648012250000001     
   651739184096.52698        9.8943556223014305E+029   3.9248624278805599E-004   237.52277329000000        116.91590180999999        40.465314300000003     
   620703984853.83521        9.6585052268288710E+029   3.7379642170291046E-004   228.21785581000000        116.31091883000001        40.278028730000003     
   591146652241.74780        9.4294319892119240E+029   3.5599659209800997E-004   219.19026955000001        115.69557069000000        40.086014169999999     
   562996811658.80737        9.2015330922421084E+029   3.3904437342667613E-004   210.43581200000000        115.06883126000000        39.889127150000000     
   536187439675.05457        8.9680174930609842E+029   3.2289940326350102E-004   201.95013519000000        114.42968264000000        39.687222200000001     
   510654704452.43292        8.7214606214939783E+029   3.0752324120333430E-004   193.72876008000000        113.77711496000001        39.480151990000003     
   486337813764.22180        8.4549280573441408E+029   2.9287927733650886E-004   185.76709027999999        113.11012641000001        39.267767499999998     
   463178870251.63977        8.1635187694750758E+029   2.7893264508238938E-004   178.06042532999999        112.42772318000000        39.049918069999997     
   441122733572.99023        7.8458275899556105E+029   2.6565013817370412E-004   170.60397341999999        111.72891964000000        38.826451630000001     
   420116889117.13354        7.5046420797369255E+029   2.5300013159400395E-004   121.86735505000000        121.86735505000000        38.023291499999999     
   400111322968.69861        7.1464333999337107E+029   2.4095250628000374E-004   121.16291866000000        121.16291866000000        37.955329900000002     
   381058402827.33197        6.7798051466787031E+029   2.2947857740952734E-004   120.46441532000000        120.46441532000000        37.887063370000000     
   362912764597.45898        6.4135855635496905E+029   2.1855102610431173E-004   119.77179846000000        119.77179846000000        37.818503190000001     
   345631204378.53235        6.0553006396208743E+029   2.0814383438505878E-004   119.08502190000000        119.08502190000000        37.749660489999997     
   329172575598.60223        5.7104019630185810E+029   1.9823222322386551E-004   118.40403983000000        118.40403983000000        37.680546239999998     
   313497691046.28784        5.3821979423318667E+029   1.8879259354653860E-004   117.72880685000000        117.72880685000000        37.611171270000000     
   298569229567.89319        5.0722133584681880E+029   1.7980247004432246E-004   117.05927791000001        117.05927791000001        37.541546269999998     
   284351647207.51733        4.7806972258091586E+029   1.7124044766125948E-004   116.39540835000000        116.39540835000000        37.471681779999997     
