#     Accreting EOS, Mackie-Baym
#      P            ro           nbar        hcell      Ncell   N   Z      nnuc          nout         energ     log(tpyc)    miun-      miun+      miuno      miuel
  0.27708E+31   0.17657E+13   0.10536E-02   941.7247     112   48  20   0.94073E-05   0.41561E-03    0.0000        70.6    -0.4270      2.483     0.9903      34.47    
  0.27708E+31   0.19114E+13   0.11405E-02   941.6590     112   44  18   0.10183E-04   0.51120E-03  -0.65788E-01    56.6    -0.2913      2.760      1.101      34.17    
  0.32160E+31   0.21341E+13   0.12731E-02   941.8934     112   44  18   0.11367E-04   0.57092E-03    0.0000        52.4    -0.2855      2.766      1.164      35.47    
  0.32160E+31   0.23186E+13   0.13831E-02   941.8218     112   40  16   0.12349E-04   0.69462E-03  -0.71575E-01    40.2    -0.1263      3.087      1.286      35.05    
  0.38246E+31   0.26340E+13   0.15710E-02   942.0844     112   40  16   0.14026E-04   0.78943E-03    0.0000        36.2    -0.1181      3.095      1.373      36.59    
  0.38246E+31   0.28712E+13   0.17123E-02   942.0065     112   36  14   0.15289E-04   0.95254E-03  -0.77886E-01    25.7     0.7162E-01  3.474      1.510      36.01    
  0.46993E+31   0.33379E+13   0.19902E-02   942.3084     112   36  14   0.17770E-04   0.11080E-02    0.0000        21.9     0.8354E-01  3.486      1.630      37.89    
  0.46993E+31   0.36479E+13   0.21749E-02   942.2237     112   32  12   0.19418E-04   0.13277E-02  -0.84649E-01    13.0     0.3139      3.940      1.785      37.06    
  0.48066E+31   0.37081E+13   0.22108E-02   942.2550     112   32  12   0.19739E-04   0.13498E-02    0.0000        12.7     0.3154      3.941      1.800      37.26    
  0.60437E+31   0.43789E+13   0.26100E-02   942.5840     112   32  12   0.23303E-04   0.15951E-02    0.0000        9.49     0.3320      3.958      1.957      39.41    
  0.60437E+31   0.49819E+13   0.29699E-02   942.2752     224   48  18   0.13258E-04   0.21068E-02  -0.30880        47.2     0.8151      3.737      2.247      37.36    
  0.64088E+31   0.51955E+13   0.30970E-02   942.3519     224   48  18   0.13826E-04   0.21975E-02    0.0000        45.6     0.8194      3.741      2.295      37.89    
  0.72329E+31   0.56653E+13   0.33766E-02   942.5143     224   48  18   0.15074E-04   0.23972E-02    0.0000        42.4     0.8286      3.751      2.396      39.01    
  0.72329E+31   0.59150E+13   0.35253E-02   942.4848     224   44  16   0.15738E-04   0.25970E-02  -0.29519E-01    33.1      1.050      4.112      2.492      38.04    
  0.80109E+31   0.63614E+13   0.37910E-02   942.6205     224   44  16   0.16924E-04   0.27940E-02    0.0000        30.8      1.058      4.121      2.583      38.99    
  0.92386E+31   0.70414E+13   0.41956E-02   942.8168     224   44  16   0.18730E-04   0.30944E-02    0.0000        27.7      1.071      4.133      2.716      40.34    
  0.92386E+31   0.73415E+13   0.43743E-02   942.7858     224   40  14   0.19528E-04   0.33429E-02  -0.30984E-01    19.9      1.326      4.550      2.820      39.11    
  0.96131E+31   0.75512E+13   0.44990E-02   942.8397     224   40  14   0.20085E-04   0.34389E-02    0.0000        19.2      1.330      4.554      2.860      39.49    
  0.11215E+32   0.84228E+13   0.50175E-02   943.0548     224   40  14   0.22400E-04   0.38383E-02    0.0000        16.4      1.346      4.570      3.017      40.97    
  0.12276E+32   0.89799E+13   0.53488E-02   943.1855     224   40  14   0.23879E-04   0.40939E-02    0.0000        14.9      1.356      4.579      3.113      41.86    
  0.12276E+32   0.93445E+13   0.55665E-02   943.0504     448   70  24   0.12425E-04   0.44333E-02  -0.13509        77.7      2.089      4.491      3.235      40.28    
  0.12818E+32   0.96330E+13   0.57381E-02   943.1112     448   70  24   0.12808E-04   0.45710E-02    0.0000        75.8      2.093      4.495      3.283      40.69    
  0.14420E+32   0.10466E+14   0.62337E-02   943.2813     448   70  24   0.13914E-04   0.49692E-02    0.0000        70.8      2.104      4.506      3.418      41.85    
  0.14625E+32   0.10571E+14   0.62960E-02   943.3022     448   70  24   0.14053E-04   0.50193E-02    0.0000        70.2      2.106      4.508      3.435      41.99    
  0.14625E+32   0.10766E+14   0.64119E-02   943.2907     448   66  22   0.14312E-04   0.51965E-02  -0.11502E-01    61.2      2.313      4.793      3.493      41.02    
  0.16022E+32   0.11478E+14   0.68354E-02   943.4247     448   66  22   0.15258E-04   0.55428E-02    0.0000        57.8      2.323      4.802      3.603      41.92    
  0.18164E+32   0.12535E+14   0.74637E-02   943.6151     448   66  22   0.16660E-04   0.60573E-02    0.0000        53.2      2.337      4.816      3.760      43.18    
  0.18164E+32   0.12754E+14   0.75941E-02   943.6038     448   62  20   0.16951E-04   0.62630E-02  -0.11323E-01    45.5      2.562      5.127      3.821      42.06    
  0.23041E+32   0.15061E+14   0.89654E-02   943.9785     448   62  20   0.20012E-04   0.74066E-02    0.0000        38.0      2.592      5.156      4.140      44.48    
  0.23041E+32   0.15308E+14   0.91120E-02   943.9676     448   58  18   0.20339E-04   0.76468E-02  -0.10875E-01    31.4      2.837      5.494      4.204      43.16    
  0.29984E+32   0.18383E+14   0.10939E-01   944.4084     448   58  18   0.24417E-04   0.91994E-02    0.0000        24.5      2.875      5.533      4.592      45.91    
  0.29984E+32   0.18659E+14   0.11103E-01   944.3984     448   54  16   0.24783E-04   0.94813E-02  -0.10038E-01    19.0      3.140      5.900      4.659      44.34    
  0.32044E+32   0.19536E+14   0.11624E-01   944.5136     448   54  16   0.25945E-04   0.99314E-02    0.0000        17.6      3.151      5.911      4.763      45.03    
  0.40275E+32   0.22865E+14   0.13600E-01   944.9288     448   54  16   0.30358E-04   0.11645E-01    0.0000        12.7      3.191      5.951      5.141      47.48    
  0.40275E+32   0.23167E+14   0.13781E-01   944.8615     896   98  28   0.15380E-04   0.12008E-01  -0.67274E-01    77.8      3.948      5.978      5.217      45.59    
  0.48066E+32   0.26132E+14   0.15540E-01   945.1981     896   98  28   0.17344E-04   0.13564E-01    0.0000        68.3      3.977      6.007      5.533      47.48    
  0.52783E+32   0.27843E+14   0.16556E-01   945.3842     896   98  28   0.18477E-04   0.14465E-01    0.0000        63.4      3.994      6.024      5.708      48.50    
  0.52783E+32   0.28101E+14   0.16709E-01   945.3817     896   98  26   0.18649E-04   0.14641E-01  -0.25226E-02    56.8      4.453      6.488      5.742      47.45    
  0.64088E+32   0.32007E+14   0.19026E-01   945.7827     896   98  26   0.21234E-04   0.16710E-01    0.0000        47.6      4.492      6.527      6.125      49.57    
  0.73108E+32   0.34933E+14   0.20761E-01   946.0700     896   98  26   0.23171E-04   0.18265E-01    0.0000        41.6      4.521      6.556      6.401      51.05    
  0.73108E+32   0.35225E+14   0.20934E-01   946.0677     896   98  24   0.23364E-04   0.18473E-01  -0.23806E-02    36.4      4.928      6.968      6.437      49.83    
  0.80109E+32   0.37407E+14   0.22228E-01   946.2733     896   98  24   0.24808E-04   0.19639E-01    0.0000        32.7      4.951      6.991      6.637      50.85    
  0.96131E+32   0.42115E+14   0.25018E-01   946.7036     896   98  24   0.27922E-04   0.22165E-01    0.0000        25.4      5.001      7.041      7.055      52.91    
  0.10214E+33   0.43790E+14   0.26010E-01   946.8529     896   98  24   0.29029E-04   0.23067E-01    0.0000        23.0      5.019      7.059      7.201      53.61    
  0.10214E+33   0.44106E+14   0.26198E-01   946.8508     896   98  22   0.29239E-04   0.23308E-01  -0.20390E-02    19.2      5.363      7.408      7.240      52.19    
  0.11215E+33   0.46812E+14   0.27801E-01   947.0863     896   98  22   0.31027E-04   0.24773E-01    0.0000        15.9      5.395      7.440      7.472      53.24    
