     6      734     itext   idata											
																								
Haensel & Zdunik (2008) EOS: Fe compression, with pycnonuclear allowed																								
																								
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

   3.74520e+11   7.09630e+29   2.24040e-04      56      56      18
   3.68090e+11   6.93470e+29   2.20210e-04      56      56      18
   3.61780e+11   6.77690e+29   2.16440e-04      56      56      18
   3.55580e+11   6.62260e+29   2.12730e-04      56      56      18
   3.49480e+11   6.47190e+29   2.09090e-04      56      56      18
   3.43490e+11   6.32460e+29   2.05510e-04      56      56      18
   3.37600e+11   6.18060e+29   2.02000e-04      56      56      18
   3.31810e+11   6.03990e+29   1.98540e-04      56      56      18
   3.26120e+11   5.90240e+29   1.95140e-04      56      56      18
   3.20520e+11   5.76810e+29   1.91800e-04      56      56      18
   3.15030e+11   5.63680e+29   1.88520e-04      56      56      18
   3.09630e+11   5.50850e+29   1.85290e-04      56      56      18
   3.04320e+11   5.38310e+29   1.82120e-04      56      56      18
   2.99100e+11   5.26050e+29   1.79010e-04      56      56      18
   2.93970e+11   5.14080e+29   1.75940e-04      56      56      18
   2.88930e+11   5.02380e+29   1.72930e-04      56      56      18
   2.83970e+11   4.90940e+29   1.69970e-04      56      56      18
   2.79110e+11   4.79770e+29   1.67060e-04      56      56      18
   2.76800e+11   4.74500e+29   1.65690e-04      56      56      18
   2.47290e+11   4.68850e+29   1.48050e-04      56      56      20
   2.43050e+11   4.58170e+29   1.45510e-04      56      56      20
   2.38880e+11   4.47740e+29   1.43020e-04      56      56      20
   2.34780e+11   4.37550e+29   1.40570e-04      56      56      20
   2.30750e+11   4.27590e+29   1.38170e-04      56      56      20
   2.26800e+11   4.17860e+29   1.35800e-04      56      56      20
   2.22910e+11   4.08350e+29   1.33480e-04      56      56      20
   2.19090e+11   3.99050e+29   1.31190e-04      56      56      20
   2.15330e+11   3.89970e+29   1.28950e-04      56      56      20
   2.11640e+11   3.81090e+29   1.26740e-04      56      56      20
   2.08010e+11   3.72420e+29   1.24570e-04      56      56      20
   2.04440e+11   3.63940e+29   1.22440e-04      56      56      20
   2.00930e+11   3.55660e+29   1.20350e-04      56      56      20
   1.97490e+11   3.47560e+29   1.18290e-04      56      56      20
   1.94100e+11   3.39650e+29   1.16260e-04      56      56      20
   1.90770e+11   3.31920e+29   1.14270e-04      56      56      20
   1.87500e+11   3.24360e+29   1.12320e-04      56      56      20
   1.84290e+11   3.16980e+29   1.10390e-04      56      56      20
   1.81130e+11   3.09760e+29   1.08510e-04      56      56      20
   1.78020e+11   3.02710e+29   1.06650e-04      56      56      20
   1.74970e+11   2.95820e+29   1.04820e-04      56      56      20
   1.71970e+11   2.89090e+29   1.03030e-04      56      56      20
   1.69020e+11   2.82510e+29   1.01270e-04      56      56      20
   1.66120e+11   2.76080e+29   9.95330e-05      56      56      20
   1.63280e+11   2.69790e+29   9.78300e-05      56      56      20
   1.60480e+11   2.63650e+29   9.61560e-05      56      56      20
   1.57730e+11   2.57650e+29   9.45100e-05      56      56      20
   1.55020e+11   2.51790e+29   9.28930e-05      56      56      20
   1.52360e+11   2.46050e+29   9.13030e-05      56      56      20
   1.49750e+11   2.40450e+29   8.97410e-05      56      56      20
   1.47180e+11   2.34980e+29   8.82050e-05      56      56      20
   1.44660e+11   2.29630e+29   8.66960e-05      56      56      20
   1.42180e+11   2.24400e+29   8.52120e-05      56      56      20
   1.39740e+11   2.19300e+29   8.37540e-05      56      56      20
   1.37350e+11   2.14300e+29   8.23200e-05      56      56      20
   1.34990e+11   2.09430e+29   8.09120e-05      56      56      20
   1.32680e+11   2.04660e+29   7.95270e-05      56      56      20
   1.30410e+11   2.00000e+29   7.81660e-05      56      56      20
   1.28170e+11   1.95450e+29   7.68280e-05      56      56      20
   1.25970e+11   1.91000e+29   7.55140e-05      56      56      20
   1.23810e+11   1.86650e+29   7.42220e-05      56      56      20
   1.21690e+11   1.82400e+29   7.29510e-05      56      56      20
   1.19610e+11   1.78250e+29   7.17030e-05      56      56      20
   1.17560e+11   1.74190e+29   7.04760e-05      56      56      20
   1.15540e+11   1.70230e+29   6.92700e-05      56      56      20
   1.13560e+11   1.66350e+29   6.80850e-05      56      56      20
   1.11610e+11   1.62570e+29   6.69200e-05      56      56      20
   1.09700e+11   1.58870e+29   6.57740e-05      56      56      20
   1.07820e+11   1.55250e+29   6.46490e-05      56      56      20
   1.05970e+11   1.51720e+29   6.35430e-05      56      56      20
   1.04160e+11   1.48260e+29   6.24550e-05      56      56      20
   1.02370e+11   1.44890e+29   6.13870e-05      56      56      20
   1.00620e+11   1.41590e+29   6.03360e-05      56      56      20
   9.88930e+10   1.38370e+29   5.93040e-05      56      56      20
   9.71980e+10   1.35220e+29   5.82890e-05      56      56      20
   9.55320e+10   1.32140e+29   5.72910e-05      56      56      20
   9.38950e+10   1.29130e+29   5.63110e-05      56      56      20
   9.22860e+10   1.26190e+29   5.53480e-05      56      56      20
   9.07040e+10   1.23320e+29   5.44000e-05      56      56      20
   8.91500e+10   1.20510e+29   5.34700e-05      56      56      20
   8.76220e+10   1.17770e+29   5.25550e-05      56      56      20
   8.61740e+10   1.15180e+29   5.16870e-05      56      56      20
   7.84190e+10   1.15090e+29   4.70400e-05      56      56      22
   7.70750e+10   1.12470e+29   4.62350e-05      56      56      22
   7.57540e+10   1.09910e+29   4.54440e-05      56      56      22
   7.44550e+10   1.07410e+29   4.46670e-05      56      56      22
   7.31790e+10   1.04960e+29   4.39020e-05      56      56      22
   7.19250e+10   1.02570e+29   4.31510e-05      56      56      22
   7.06930e+10   1.00240e+29   4.24130e-05      56      56      22
   6.94810e+10   9.79560e+28   4.16870e-05      56      56      22
   6.82900e+10   9.57260e+28   4.09740e-05      56      56      22
   6.71200e+10   9.35470e+28   4.02730e-05      56      56      22
   6.59700e+10   9.14180e+28   3.95840e-05      56      56      22
   6.48400e+10   8.93370e+28   3.89060e-05      56      56      22
   6.37280e+10   8.73030e+28   3.82410e-05      56      56      22
   6.26360e+10   8.53160e+28   3.75860e-05      56      56      22
   6.15630e+10   8.33740e+28   3.69430e-05      56      56      22
   6.05080e+10   8.14760e+28   3.63110e-05      56      56      22
   5.94710e+10   7.96210e+28   3.56900e-05      56      56      22
   5.84520e+10   7.78090e+28   3.50790e-05      56      56      22
   5.74510e+10   7.60380e+28   3.44790e-05      56      56      22
   5.64660e+10   7.43070e+28   3.38890e-05      56      56      22
   5.54990e+10   7.26160e+28   3.33090e-05      56      56      22
   5.45480e+10   7.09630e+28   3.27390e-05      56      56      22
   5.36130e+10   6.93470e+28   3.21790e-05      56      56      22
   5.26950e+10   6.77690e+28   3.16290e-05      56      56      22
   5.17920e+10   6.62260e+28   3.10880e-05      56      56      22
   5.09050e+10   6.47190e+28   3.05560e-05      56      56      22
   5.00330e+10   6.32460e+28   3.00330e-05      56      56      22
   4.91750e+10   6.18060e+28   2.95190e-05      56      56      22
   4.83330e+10   6.03990e+28   2.90140e-05      56      56      22
   4.75050e+10   5.90240e+28   2.85180e-05      56      56      22
   4.66910e+10   5.76810e+28   2.80300e-05      56      56      22
   4.58910e+10   5.63680e+28   2.75500e-05      56      56      22
   4.51050e+10   5.50850e+28   2.70790e-05      56      56      22
   4.43320e+10   5.38310e+28   2.66160e-05      56      56      22
   4.35730e+10   5.26050e+28   2.61600e-05      56      56      22
   4.28270e+10   5.14080e+28   2.57130e-05      56      56      22
   4.20930e+10   5.02380e+28   2.52730e-05      56      56      22
   4.13720e+10   4.90940e+28   2.48410e-05      56      56      22
   4.06630e+10   4.79770e+28   2.44160e-05      56      56      22
   3.99670e+10   4.68850e+28   2.39980e-05      56      56      22
   3.92820e+10   4.58170e+28   2.35880e-05      56      56      22
   3.86090e+10   4.47740e+28   2.31840e-05      56      56      22
   3.79480e+10   4.37550e+28   2.27870e-05      56      56      22
   3.72980e+10   4.27590e+28   2.23980e-05      56      56      22
   3.66590e+10   4.17860e+28   2.20150e-05      56      56      22
   3.60310e+10   4.08350e+28   2.16380e-05      56      56      22
   3.54140e+10   3.99050e+28   2.12680e-05      56      56      22
   3.48080e+10   3.89970e+28   2.09040e-05      56      56      22
   3.42120e+10   3.81090e+28   2.05460e-05      56      56      22
   3.36260e+10   3.72420e+28   2.01950e-05      56      56      22
   3.30500e+10   3.63940e+28   1.98500e-05      56      56      22
   3.24840e+10   3.55660e+28   1.95100e-05      56      56      22
   3.19280e+10   3.47560e+28   1.91760e-05      56      56      22
   3.13810e+10   3.39650e+28   1.88480e-05      56      56      22
   3.08430e+10   3.31920e+28   1.85260e-05      56      56      22
   3.03150e+10   3.24360e+28   1.82090e-05      56      56      22
   2.97960e+10   3.16980e+28   1.78980e-05      56      56      22
   2.92860e+10   3.09760e+28   1.75920e-05      56      56      22
   2.87840e+10   3.02710e+28   1.72910e-05      56      56      22
   2.82920e+10   2.95820e+28   1.69950e-05      56      56      22
   2.78070e+10   2.89090e+28   1.67040e-05      56      56      22
   2.73310e+10   2.82510e+28   1.64190e-05      56      56      22
   2.68630e+10   2.76080e+28   1.61380e-05      56      56      22
   2.64030e+10   2.69790e+28   1.58620e-05      56      56      22
   2.59510e+10   2.63650e+28   1.55900e-05      56      56      22
   2.55070e+10   2.57650e+28   1.53240e-05      56      56      22
   2.50700e+10   2.51790e+28   1.50620e-05      56      56      22
   2.46410e+10   2.46050e+28   1.48040e-05      56      56      22
   2.42190e+10   2.40450e+28   1.45510e-05      56      56      22
   2.38040e+10   2.34980e+28   1.43020e-05      56      56      22
   2.33970e+10   2.29630e+28   1.40580e-05      56      56      22
   2.29960e+10   2.24400e+28   1.38170e-05      56      56      22
   2.26030e+10   2.19300e+28   1.35810e-05      56      56      22
   2.22160e+10   2.14300e+28   1.33490e-05      56      56      22
   2.18350e+10   2.09430e+28   1.31200e-05      56      56      22
   2.14620e+10   2.04660e+28   1.28960e-05      56      56      22
   2.10940e+10   2.00000e+28   1.26750e-05      56      56      22
   2.07330e+10   1.95450e+28   1.24590e-05      56      56      22
   2.03780e+10   1.91000e+28   1.22460e-05      56      56      22
   2.00290e+10   1.86650e+28   1.20360e-05      56      56      22
   1.96870e+10   1.82400e+28   1.18310e-05      56      56      22
   1.93500e+10   1.78250e+28   1.16280e-05      56      56      22
   1.90180e+10   1.74190e+28   1.14290e-05      56      56      22
   1.86930e+10   1.70230e+28   1.12340e-05      56      56      22
   1.83730e+10   1.66350e+28   1.10420e-05      56      56      22
   1.80580e+10   1.62570e+28   1.08530e-05      56      56      22
   1.77490e+10   1.58870e+28   1.06680e-05      56      56      22
   1.74460e+10   1.55250e+28   1.04850e-05      56      56      22
   1.71470e+10   1.51720e+28   1.03060e-05      56      56      22
   1.68540e+10   1.48260e+28   1.01300e-05      56      56      22
   1.65650e+10   1.44890e+28   9.95650e-06      56      56      22
   1.62820e+10   1.41590e+28   9.78630e-06      56      56      22
   1.60030e+10   1.38370e+28   9.61900e-06      56      56      22
   1.57290e+10   1.35220e+28   9.45450e-06      56      56      22
   1.54600e+10   1.32140e+28   9.29290e-06      56      56      22
   1.51960e+10   1.29130e+28   9.13400e-06      56      56      22
   1.49360e+10   1.26190e+28   8.97790e-06      56      56      22
   1.46800e+10   1.23320e+28   8.82440e-06      56      56      22
   1.44290e+10   1.20510e+28   8.67360e-06      56      56      22
   1.41820e+10   1.17770e+28   8.52530e-06      56      56      22
   1.39390e+10   1.15090e+28   8.37960e-06      56      56      22
   1.37010e+10   1.12470e+28   8.23640e-06      56      56      22
   1.34660e+10   1.09910e+28   8.09560e-06      56      56      22
   1.32360e+10   1.07410e+28   7.95720e-06      56      56      22
   1.30100e+10   1.04960e+28   7.82120e-06      56      56      22
   1.27870e+10   1.02570e+28   7.68750e-06      56      56      22
   1.25680e+10   1.00240e+28   7.55610e-06      56      56      22
   1.23530e+10   9.79560e+27   7.42700e-06      56      56      22
