      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

7.5961342E+15	2.9058666E+36	2.3451000E+00	1.2680842E-03	0.0000000E+00	4.8019527E-02	5.3600205E-02	5.3895562E-01	4.6084718E-02	5.8179451E-02	7.1225257E-02	8.0008828E-02	1.0392640E-01	4.5126820E-01	4.5064675E-01	2.4599095E-01	5.3953240E-01	5.3839505E-01	5.3643526E-01	6.3387777E-01	6.3144680E-01
7.5724095E+15	2.8917195E+36	2.3401000E+00	1.2380717E-03	0.0000000E+00	4.8403292E-02	5.3940409E-02	5.3929205E-01	4.5774150E-02	5.7777248E-02	7.0722235E-02	8.0126566E-02	1.0396405E-01	4.5033923E-01	4.4971906E-01	2.4647332E-01	5.3982680E-01	5.3869066E-01	5.3673164E-01	6.3411202E-01	6.3168212E-01
7.5487146E+15	2.8776091E+36	2.3351000E+00	1.2084239E-03	0.0000000E+00	4.8789595E-02	5.4282526E-02	5.3962750E-01	4.5462408E-02	5.7373372E-02	7.0217001E-02	8.0245543E-02	1.0400206E-01	4.4940691E-01	4.4878802E-01	2.4695743E-01	5.4012226E-01	5.3898734E-01	5.3702909E-01	6.3434712E-01	6.3191828E-01
7.5250497E+15	2.8635356E+36	2.3301000E+00	1.1791418E-03	0.0000000E+00	4.9178458E-02	5.4626572E-02	5.3996192E-01	4.5149487E-02	5.6967814E-02	6.9709545E-02	8.0365772E-02	1.0404043E-01	4.4847122E-01	4.4785362E-01	2.4744329E-01	5.4041879E-01	5.3928508E-01	5.3732761E-01	6.3458306E-01	6.3215530E-01
7.5014145E+15	2.8494989E+36	2.3251000E+00	1.1502263E-03	0.0000000E+00	4.9569907E-02	5.4972564E-02	5.4029531E-01	4.4835383E-02	5.6560568E-02	6.9199858E-02	8.0487265E-02	1.0407915E-01	4.4753211E-01	4.4691580E-01	2.4793092E-01	5.4071641E-01	5.3958392E-01	5.3762723E-01	6.3481987E-01	6.3239319E-01
7.4778092E+15	2.8354991E+36	2.3201000E+00	1.1216782E-03	0.0000000E+00	4.9963964E-02	5.5320519E-02	5.4062761E-01	4.4520091E-02	5.6151625E-02	6.8687931E-02	8.0610037E-02	1.0411823E-01	4.4658954E-01	4.4597453E-01	2.4842035E-01	5.4101511E-01	5.3988386E-01	5.3792795E-01	6.3505755E-01	6.3263195E-01
7.4542336E+15	2.8215363E+36	2.3151000E+00	1.0934985E-03	0.0000000E+00	5.0360653E-02	5.5670454E-02	5.4095880E-01	4.4203604E-02	5.5740978E-02	6.8173752E-02	8.0734101E-02	1.0415766E-01	4.4564349E-01	4.4502978E-01	2.4891159E-01	5.4131493E-01	5.4018490E-01	5.3822978E-01	6.3529611E-01	6.3287160E-01
7.4306876E+15	2.8076105E+36	2.3101000E+00	1.0656880E-03	0.0000000E+00	5.0760000E-02	5.6022387E-02	5.4128884E-01	4.3885918E-02	5.5328619E-02	6.7657314E-02	8.0859470E-02	1.0419745E-01	4.4469391E-01	4.4408151E-01	2.4940466E-01	5.4161586E-01	5.4048707E-01	5.3853273E-01	6.3553555E-01	6.3311214E-01
7.4071713E+15	2.7937218E+36	2.3051000E+00	1.0382474E-03	0.0000000E+00	5.1162029E-02	5.6376334E-02	5.4161770E-01	4.3567028E-02	5.4914542E-02	6.7138605E-02	8.0986158E-02	1.0423760E-01	4.4374075E-01	4.4312967E-01	2.4989959E-01	5.4191793E-01	5.4079038E-01	5.3883683E-01	6.3577590E-01	6.3335359E-01
7.3836846E+15	2.7798702E+36	2.3001000E+00	1.0111776E-03	0.0000000E+00	5.1566766E-02	5.6732315E-02	5.4194534E-01	4.3246929E-02	5.4498739E-02	6.6617617E-02	8.1114181E-02	1.0427811E-01	4.4278399E-01	4.4217422E-01	2.5039639E-01	5.4222113E-01	5.4109483E-01	5.3914208E-01	6.3601716E-01	6.3359595E-01
7.3602274E+15	2.7660558E+36	2.2951000E+00	9.8447914E-04	0.0000000E+00	5.1974236E-02	5.7090347E-02	5.4227173E-01	4.2925615E-02	5.4081202E-02	6.6094340E-02	8.1243551E-02	1.0431898E-01	4.4182357E-01	4.4121512E-01	2.5089508E-01	5.4252550E-01	5.4140045E-01	5.3944849E-01	6.3625934E-01	6.3383923E-01
7.3367996E+15	2.7522786E+36	2.2901000E+00	9.5815279E-04	0.0000000E+00	5.2384466E-02	5.7450448E-02	5.4259683E-01	4.2603082E-02	5.3661923E-02	6.5568765E-02	8.1374283E-02	1.0436020E-01	4.4085946E-01	4.4025234E-01	2.5139570E-01	5.4283104E-01	5.4170724E-01	5.3975608E-01	6.3650245E-01	6.3408345E-01
7.3134013E+15	2.7385388E+36	2.2851000E+00	9.3219917E-04	0.0000000E+00	5.2797481E-02	5.7812637E-02	5.4292060E-01	4.2279324E-02	5.3240897E-02	6.5040881E-02	8.1506394E-02	1.0440178E-01	4.3989161E-01	4.3928583E-01	2.5189825E-01	5.4313776E-01	5.4201522E-01	5.4006486E-01	6.3674651E-01	6.3432862E-01
7.2900323E+15	2.7248364E+36	2.2801000E+00	9.0661886E-04	0.0000000E+00	5.3213309E-02	5.8176933E-02	5.4324300E-01	4.1954336E-02	5.2818115E-02	6.4510681E-02	8.1639897E-02	1.0444373E-01	4.3891999E-01	4.3831554E-01	2.5240277E-01	5.4344567E-01	5.4232440E-01	5.4037485E-01	6.3699151E-01	6.3457474E-01
6.9873580E+15	3.2404319E+36	2.2751000E+00	1.4477771E-05	0.0000000E+00	1.7930229E-01	1.7046134E-01	3.1261014E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7043214E-01	1.6714002E-01	3.6964569E-08	3.6913664E-08	4.8031222E-01	6.8254380E-01	6.8199409E-01	6.8040857E-01	7.4767007E-01	7.4575830E-01
6.9643009E+15	3.2255412E+36	2.2701000E+00	1.5941612E-05	0.0000000E+00	1.7949729E-01	1.7049470E-01	3.1270263E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7047876E-01	1.6682662E-01	1.5376280E-04	1.5355104E-04	4.8039208E-01	6.8259254E-01	6.8204303E-01	6.8045764E-01	7.4770885E-01	7.4579726E-01
6.9410749E+15	3.2109249E+36	2.2651000E+00	1.7570007E-05	0.0000000E+00	1.7973165E-01	1.7055834E-01	3.1265929E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7054077E-01	1.6650994E-01	5.9100628E-04	5.9019239E-04	4.8061911E-01	6.8273111E-01	6.8218216E-01	6.8059713E-01	7.4781911E-01	7.4590802E-01
6.9178847E+15	3.1963414E+36	2.2601000E+00	1.9308256E-05	0.0000000E+00	1.7996705E-01	1.7062230E-01	3.1261566E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7060299E-01	1.6619200E-01	1.0291287E-03	1.0277115E-03	4.8084661E-01	6.8286996E-01	6.8232158E-01	6.8073691E-01	7.4792958E-01	7.4601900E-01
6.8947304E+15	3.1817905E+36	2.2551000E+00	2.1160270E-05	0.0000000E+00	1.8020349E-01	1.7068659E-01	3.1257171E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7066543E-01	1.6587279E-01	1.4681417E-03	1.4661198E-03	4.8107457E-01	6.8300908E-01	6.8246128E-01	6.8087698E-01	7.4804029E-01	7.4613020E-01
6.8716120E+15	3.1672723E+36	2.2501000E+00	2.3129992E-05	0.0000000E+00	1.8044097E-01	1.7075120E-01	3.1252746E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7072807E-01	1.6555231E-01	1.9080559E-03	1.9054283E-03	4.8130299E-01	6.8314850E-01	6.8260127E-01	6.8101733E-01	7.4815122E-01	7.4624164E-01
6.8485293E+15	3.1527868E+36	2.2451000E+00	2.5221395E-05	0.0000000E+00	1.8067952E-01	1.7081614E-01	3.1248288E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7079091E-01	1.6523055E-01	2.3488819E-03	2.3456472E-03	4.8153189E-01	6.8328820E-01	6.8274154E-01	6.8115797E-01	7.4826238E-01	7.4635331E-01
6.8254826E+15	3.1383341E+36	2.2401000E+00	2.7438485E-05	0.0000000E+00	1.8091914E-01	1.7088141E-01	3.1243798E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7085397E-01	1.6490750E-01	2.7906297E-03	2.7867866E-03	4.8176127E-01	6.8342819E-01	6.8288211E-01	6.8129891E-01	7.4837377E-01	7.4646521E-01
6.8024717E+15	3.1239141E+36	2.2351000E+00	2.9785297E-05	0.0000000E+00	1.8115982E-01	1.7094702E-01	3.1239276E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7091724E-01	1.6458316E-01	3.2333090E-03	3.2288564E-03	4.8199113E-01	6.8356848E-01	6.8302298E-01	6.8144014E-01	7.4848539E-01	7.4657734E-01
6.7794967E+15	3.1095269E+36	2.2301000E+00	3.2265898E-05	0.0000000E+00	1.8140160E-01	1.7101297E-01	3.1234720E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7098071E-01	1.6425752E-01	3.6769297E-03	3.6718661E-03	4.8222148E-01	6.8370907E-01	6.8316414E-01	6.8158167E-01	7.4859726E-01	7.4668972E-01
6.7565575E+15	3.0951724E+36	2.2251000E+00	3.4884387E-05	0.0000000E+00	1.8164446E-01	1.7107927E-01	3.1230131E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7104438E-01	1.6393058E-01	4.1215010E-03	4.1158252E-03	4.8245233E-01	6.8384996E-01	6.8330561E-01	6.8172351E-01	7.4870936E-01	7.4680233E-01
6.7336541E+15	3.0808507E+36	2.2201000E+00	3.7644894E-05	0.0000000E+00	1.8188842E-01	1.7114591E-01	3.1225508E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7110827E-01	1.6360233E-01	4.5670325E-03	4.5607431E-03	4.8268367E-01	6.8399115E-01	6.8344738E-01	6.8186565E-01	7.4882171E-01	7.4691519E-01
6.7107866E+15	3.0665617E+36	2.2151000E+00	4.0551581E-05	0.0000000E+00	1.8213349E-01	1.7121290E-01	3.1220850E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7117235E-01	1.6327276E-01	5.0135334E-03	5.0066291E-03	4.8291551E-01	6.8413265E-01	6.8358947E-01	6.8200810E-01	7.4893430E-01	7.4702829E-01
6.6879550E+15	3.0523055E+36	2.2101000E+00	4.3608643E-05	0.0000000E+00	1.8237967E-01	1.7128025E-01	3.1216157E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7123664E-01	1.6294186E-01	5.4610128E-03	5.4534923E-03	4.8314787E-01	6.8427446E-01	6.8373186E-01	6.8215087E-01	7.4904713E-01	7.4714165E-01
6.6651591E+15	3.0380822E+36	2.2051000E+00	4.6820303E-05	0.0000000E+00	1.8262698E-01	1.7134796E-01	3.1211430E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7130114E-01	1.6260963E-01	5.9094798E-03	5.9013417E-03	4.8338074E-01	6.8441659E-01	6.8387457E-01	6.8229395E-01	7.4916022E-01	7.4725525E-01
6.6423992E+15	3.0238916E+36	2.2001000E+00	5.0190822E-05	0.0000000E+00	1.8287542E-01	1.7141602E-01	3.1206666E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7136583E-01	1.6227606E-01	6.3589436E-03	6.3501865E-03	4.8361412E-01	6.8455903E-01	6.8401759E-01	6.8243735E-01	7.4927356E-01	7.4736910E-01
6.6196750E+15	3.0097338E+36	2.1951000E+00	5.3724488E-05	0.0000000E+00	1.8312500E-01	1.7148446E-01	3.1201866E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7143073E-01	1.6194115E-01	6.8094131E-03	6.8000356E-03	4.8384803E-01	6.8470179E-01	6.8416094E-01	6.8258106E-01	7.4938715E-01	7.4748321E-01
6.5969868E+15	2.9956089E+36	2.1901000E+00	5.7425624E-05	0.0000000E+00	1.8337573E-01	1.7155326E-01	3.1197030E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7149583E-01	1.6160488E-01	7.2608972E-03	7.2508980E-03	4.8408246E-01	6.8484487E-01	6.8430461E-01	6.8272511E-01	7.4950099E-01	7.4759758E-01
6.5743343E+15	2.9815168E+36	2.1851000E+00	6.1298586E-05	0.0000000E+00	1.8362762E-01	1.7162243E-01	3.1192157E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7156113E-01	1.6126725E-01	7.7134049E-03	7.7027826E-03	4.8431742E-01	6.8498827E-01	6.8444860E-01	6.8286948E-01	7.4961510E-01	7.4771220E-01
6.5517177E+15	2.9674575E+36	2.1801000E+00	6.5347761E-05	0.0000000E+00	1.8388068E-01	1.7169198E-01	3.1187246E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7162663E-01	1.6092825E-01	8.1669452E-03	8.1556983E-03	4.8455293E-01	6.8513200E-01	6.8459292E-01	6.8301417E-01	7.4972946E-01	7.4782709E-01
6.5291369E+15	2.9534311E+36	2.1751000E+00	6.9577570E-05	0.0000000E+00	1.8413491E-01	1.7176190E-01	3.1182298E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7169233E-01	1.6058788E-01	8.6215268E-03	8.6096539E-03	4.8478897E-01	6.8527606E-01	6.8473757E-01	6.8315920E-01	7.4984409E-01	7.4794224E-01
6.5065920E+15	2.9394375E+36	2.1701000E+00	7.3992467E-05	0.0000000E+00	1.8439033E-01	1.7183221E-01	3.1177311E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7175822E-01	1.6024613E-01	9.0771586E-03	9.0646583E-03	4.8502555E-01	6.8542046E-01	6.8488256E-01	6.8330457E-01	7.4995899E-01	7.4805766E-01
6.4840829E+15	2.9254768E+36	2.1651000E+00	7.8596938E-05	0.0000000E+00	1.8464694E-01	1.7190291E-01	3.1172286E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7182431E-01	1.5990298E-01	9.5338496E-03	9.5207203E-03	4.8526269E-01	6.8556519E-01	6.8502789E-01	6.8345027E-01	7.5007415E-01	7.4817334E-01
6.4616096E+15	2.9115489E+36	2.1601000E+00	8.3395503E-05	0.0000000E+00	1.8490475E-01	1.7197399E-01	3.1167222E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7189060E-01	1.5955844E-01	9.9916086E-03	9.9778489E-03	4.8550038E-01	6.8571026E-01	6.8517355E-01	6.8359632E-01	7.5018957E-01	7.4828930E-01
6.4391721E+15	2.8976540E+36	2.1551000E+00	8.8392716E-05	0.0000000E+00	1.8516377E-01	1.7204547E-01	3.1162118E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7195708E-01	1.5921250E-01	1.0450444E-02	1.0436053E-02	4.8573863E-01	6.8585566E-01	6.8531956E-01	6.8374270E-01	7.5030527E-01	7.4840553E-01
6.4167705E+15	2.8837919E+36	2.1501000E+00	9.3593164E-05	0.0000000E+00	1.8542401E-01	1.7211735E-01	3.1156974E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7202375E-01	1.5886515E-01	1.0910366E-02	1.0895341E-02	4.8597745E-01	6.8600142E-01	6.8546591E-01	6.8388944E-01	7.5042125E-01	7.4852203E-01
6.3944047E+15	2.8699627E+36	2.1451000E+00	9.9001469E-05	0.0000000E+00	1.8568549E-01	1.7218962E-01	3.1151790E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7209062E-01	1.5851637E-01	1.1371382E-02	1.1355722E-02	4.8621683E-01	6.8614752E-01	6.8561261E-01	6.8403652E-01	7.5053750E-01	7.4863881E-01
