      6    418    279          Itext Imax Icore

	BM165 WITH hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													

2.3314785E+15	8.5346818E+35	1.0295539E+00	3.2885016E-02	1.9851297E-02	5.3810287E-01	1.6565044E-01	1.8333256E-01	6.6654155E-02	0.0000000E+00	0.0000000E+00	4.6259971E-02	0.0000000E+00	3.8360739E-01	5.4338369E-01	5.6934075E-01	6.5616474E-01	0.0000000E+00	0.0000000E+00	6.8864689E-01	0.0000000E+00
2.3073181E+15	8.3560331E+35	1.0219496E+00	3.3176187E-02	2.0038291E-02	5.3906704E-01	1.6547760E-01	1.8319225E-01	6.5593515E-02	0.0000000E+00	0.0000000E+00	4.6669604E-02	0.0000000E+00	3.8301921E-01	5.4275790E-01	5.6987297E-01	6.5663036E-01	0.0000000E+00	0.0000000E+00	6.8996312E-01	0.0000000E+00
2.2834452E+15	8.1811863E+35	1.0143900E+00	3.3465933E-02	2.0223557E-02	5.4003332E-01	1.6530483E-01	1.8304651E-01	6.4522397E-02	0.0000000E+00	0.0000000E+00	4.7092944E-02	0.0000000E+00	3.8244107E-01	5.4213618E-01	5.7040547E-01	6.5709155E-01	0.0000000E+00	0.0000000E+00	6.9127268E-01	0.0000000E+00
2.2598513E+15	8.0100128E+35	1.0068736E+00	3.3754361E-02	2.0407165E-02	5.4100246E-01	1.6513202E-01	1.8289502E-01	6.3440920E-02	0.0000000E+00	0.0000000E+00	4.7529572E-02	0.0000000E+00	3.8187288E-01	5.4151868E-01	5.7093852E-01	6.5754876E-01	0.0000000E+00	0.0000000E+00	6.9257609E-01	0.0000000E+00
2.2365276E+15	7.8423900E+35	9.9939874E-01	3.4041585E-02	2.0589194E-02	5.4197525E-01	1.6495903E-01	1.8273747E-01	6.2349208E-02	0.0000000E+00	0.0000000E+00	4.7979046E-02	0.0000000E+00	3.8131467E-01	5.4090559E-01	5.7147239E-01	6.5800238E-01	0.0000000E+00	0.0000000E+00	6.9387381E-01	0.0000000E+00
2.2134661E+15	7.6782008E+35	9.9196384E-01	3.4327726E-02	2.0769727E-02	5.4295247E-01	1.6478575E-01	1.8257349E-01	6.1247390E-02	0.0000000E+00	0.0000000E+00	4.8440905E-02	0.0000000E+00	3.8076634E-01	5.4029708E-01	5.7200737E-01	6.5845288E-01	0.0000000E+00	0.0000000E+00	6.9516638E-01	0.0000000E+00
2.1906585E+15	7.5173337E+35	9.8456733E-01	3.4612914E-02	2.0948852E-02	5.4393497E-01	1.6461203E-01	1.8240273E-01	6.0135599E-02	0.0000000E+00	0.0000000E+00	4.8914666E-02	0.0000000E+00	3.8022798E-01	5.3969336E-01	5.7254377E-01	6.5890065E-01	0.0000000E+00	0.0000000E+00	6.9645426E-01	0.0000000E+00
2.1680967E+15	7.3596821E+35	9.7720762E-01	3.4897284E-02	2.1126663E-02	5.4492363E-01	1.6443775E-01	1.8222482E-01	5.9013974E-02	0.0000000E+00	0.0000000E+00	4.9399830E-02	0.0000000E+00	3.7969950E-01	5.3909462E-01	5.7308188E-01	6.5934619E-01	0.0000000E+00	0.0000000E+00	6.9773803E-01	0.0000000E+00
2.1457731E+15	7.2051444E+35	9.6988313E-01	3.5180978E-02	2.1303258E-02	5.4591932E-01	1.6426277E-01	1.8203937E-01	5.7882657E-02	0.0000000E+00	0.0000000E+00	4.9895878E-02	0.0000000E+00	3.7918092E-01	5.3850108E-01	5.7362202E-01	6.5978992E-01	0.0000000E+00	0.0000000E+00	6.9901819E-01	0.0000000E+00
2.1236801E+15	7.0536237E+35	9.6259227E-01	3.5464145E-02	2.1478741E-02	5.4692299E-01	1.6408695E-01	1.8184599E-01	5.6741797E-02	0.0000000E+00	0.0000000E+00	5.0402271E-02	0.0000000E+00	3.7867231E-01	5.3791296E-01	5.7416454E-01	6.6023233E-01	0.0000000E+00	0.0000000E+00	7.0029526E-01	0.0000000E+00
2.1018100E+15	6.9050274E+35	9.5533348E-01	3.5746938E-02	2.1653220E-02	5.4793558E-01	1.6391016E-01	1.8164426E-01	5.5591548E-02	0.0000000E+00	0.0000000E+00	5.0918453E-02	0.0000000E+00	3.7817362E-01	5.3733049E-01	5.7470974E-01	6.6067387E-01	0.0000000E+00	0.0000000E+00	7.0156983E-01	0.0000000E+00
2.0801558E+15	6.7592674E+35	9.4810520E-01	3.6029519E-02	2.1826805E-02	5.4895807E-01	1.6373224E-01	1.8143376E-01	5.4432071E-02	0.0000000E+00	0.0000000E+00	5.1443849E-02	0.0000000E+00	3.7768492E-01	5.3675390E-01	5.7525798E-01	6.6111504E-01	0.0000000E+00	0.0000000E+00	7.0284243E-01	0.0000000E+00
2.0587104E+15	6.6162593E+35	9.4090587E-01	3.6312056E-02	2.1999615E-02	5.4999149E-01	1.6355306E-01	1.8121406E-01	5.3263531E-02	0.0000000E+00	0.0000000E+00	5.1977862E-02	0.0000000E+00	3.7720627E-01	5.3618345E-01	5.7580960E-01	6.6155630E-01	0.0000000E+00	0.0000000E+00	7.0411361E-01	0.0000000E+00
