      6    418    279          Itext Imax Icore

	BM165 without hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													
																		
2.3073181E+15	8.3560331E+35	1.0219496E+00	9.5677169E-02	7.6186248E-02	8.2813658E-01	1.7186342E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8301921E-01	5.4275790E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.2834452E+15	8.1811863E+35	1.0143900E+00	9.5685374E-02	7.6100839E-02	8.2821378E-01	1.7178622E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8244107E-01	5.4213618E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.2598513E+15	8.0100128E+35	1.0068736E+00	9.5693146E-02	7.6014497E-02	8.2829236E-01	1.7170764E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8187288E-01	5.4151868E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.2365276E+15	7.8423900E+35	9.9939874E-01	9.5700363E-02	7.5926973E-02	8.2837266E-01	1.7162734E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8131467E-01	5.4090559E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.2134661E+15	7.6782008E+35	9.9196384E-01	9.5707126E-02	7.5838452E-02	8.2845442E-01	1.7154558E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8076634E-01	5.4029708E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.1906585E+15	7.5173337E+35	9.8456733E-01	9.5713306E-02	7.5748675E-02	8.2853801E-01	1.7146199E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8022798E-01	5.3969336E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.1680967E+15	7.3596821E+35	9.7720762E-01	9.5719006E-02	7.5657830E-02	8.2862316E-01	1.7137684E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7969950E-01	5.3909462E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.1457731E+15	7.2051444E+35	9.6988313E-01	9.5724093E-02	7.5565650E-02	8.2871025E-01	1.7128975E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7918092E-01	5.3850108E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.1236801E+15	7.0536237E+35	9.6259227E-01	9.5728671E-02	7.5472323E-02	8.2879901E-01	1.7120099E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7867231E-01	5.3791296E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.1018100E+15	6.9050274E+35	9.5533348E-01	9.5732602E-02	7.5377576E-02	8.2888981E-01	1.7111018E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7817362E-01	5.3733049E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.0801558E+15	6.7592674E+35	9.4810520E-01	9.5735991E-02	7.5281596E-02	8.2898241E-01	1.7101759E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7768492E-01	5.3675390E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
