# File from M. Beznogov- HHJ EOS from Kaminker et al. (2014)- EOS used in Beznogov & Yakovlev MNRAS 447 (2015)
#    rho             P           nb             ne             nmu 
#    g/cm^3            dyn/cm^2    fm-3           fm-3           fm-3
 1.492927e+14  8.871485e+32  8.840269e-02  2.264873e-03  0.000000e+00
 1.518327e+14  9.295707e+32  8.989663e-02  2.339931e-03  0.000000e+00
 1.544164e+14  9.742599e+32  9.141581e-02  2.417387e-03  0.000000e+00
 1.570447e+14  1.021339e+33  9.296066e-02  2.497312e-03  0.000000e+00
 1.597183e+14  1.070938e+33  9.453162e-02  2.579781e-03  0.000000e+00
 1.624380e+14  1.123192e+33  9.612912e-02  2.664871e-03  0.000000e+00
 1.652047e+14  1.178245e+33  9.775363e-02  2.752661e-03  0.000000e+00
 1.680192e+14  1.236249e+33  9.940558e-02  2.843230e-03  0.000000e+00
 1.708824e+14  1.297363e+33  1.010855e-01  2.936663e-03  0.000000e+00
 1.737952e+14  1.361752e+33  1.027937e-01  3.033044e-03  0.000000e+00
 1.767584e+14  1.429594e+33  1.045308e-01  3.132462e-03  0.000000e+00
 1.797731e+14  1.501075e+33  1.062973e-01  3.235007e-03  0.000000e+00
 1.828400e+14  1.576387e+33  1.080937e-01  3.340770e-03  0.000000e+00
 1.859602e+14  1.655738e+33  1.099204e-01  3.449847e-03  0.000000e+00
 1.891347e+14  1.739341e+33  1.117779e-01  3.562336e-03  0.000000e+00
 1.923645e+14  1.827424e+33  1.136669e-01  3.678336e-03  0.000000e+00
 1.956505e+14  1.920226e+33  1.155878e-01  3.797952e-03  0.000000e+00
 1.989938e+14  2.017996e+33  1.175411e-01  3.921287e-03  0.000000e+00
 2.023956e+14  2.120999e+33  1.195274e-01  4.048451e-03  0.000000e+00
 2.058568e+14  2.229512e+33  1.215474e-01  4.179556e-03  0.000000e+00
 2.093786e+14  2.343825e+33  1.236014e-01  4.314714e-03  0.000000e+00
 2.129621e+14  2.464245e+33  1.256902e-01  4.454045e-03  0.000000e+00
 2.166085e+14  2.591093e+33  1.278142e-01  4.597667e-03  0.000000e+00
 2.203190e+14  2.724708e+33  1.299742e-01  4.745704e-03  0.000000e+00
 2.240947e+14  2.865445e+33  1.321707e-01  4.898283e-03  0.000000e+00
 2.279370e+14  3.013676e+33  1.344042e-01  5.055535e-03  0.000000e+00
 2.318470e+14  3.169685e+33  1.366755e-01  5.217386e-03  1.030311e-06
 2.358262e+14  3.332125e+33  1.389853e-01  5.380651e-03  1.957635e-05
 2.398757e+14  3.502037e+33  1.413340e-01  5.546519e-03  4.982850e-05
 2.439969e+14  3.680201e+33  1.437224e-01  5.715695e-03  8.863791e-05
 2.481912e+14  3.867215e+33  1.461512e-01  5.888512e-03  1.348119e-04
 2.524599e+14  4.063643e+33  1.486210e-01  6.065200e-03  1.876972e-04
 2.568046e+14  4.270045e+33  1.511326e-01  6.245942e-03  2.469245e-04
 2.612267e+14  4.486998e+33  1.536866e-01  6.430910e-03  3.122007e-04
 2.657277e+14  4.715089e+33  1.562838e-01  6.620248e-03  3.833957e-04
 2.703092e+14  4.954931e+33  1.589249e-01  6.814097e-03  4.604037e-04
 2.749727e+14  5.207163e+33  1.616106e-01  7.012596e-03  5.431634e-04
 2.797199e+14  5.472451e+33  1.643417e-01  7.215879e-03  6.316459e-04
 2.845524e+14  5.751491e+33  1.671189e-01  7.424080e-03  7.258466e-04
 2.894720e+14  6.045012e+33  1.699431e-01  7.637332e-03  8.257865e-04
 2.944804e+14  6.353775e+33  1.728150e-01  7.855766e-03  9.314963e-04
 2.995794e+14  6.678578e+33  1.757354e-01  8.079518e-03  1.043019e-03
 3.047708e+14  7.020259e+33  1.787052e-01  8.308721e-03  1.160418e-03
 3.100565e+14  7.379693e+33  1.817252e-01  8.543513e-03  1.283755e-03
 3.154384e+14  7.757798e+33  1.847962e-01  8.784030e-03  1.413111e-03
 3.209187e+14  8.155535e+33  1.879191e-01  9.030413e-03  1.548569e-03
 3.264992e+14  8.573914e+33  1.910948e-01  9.282804e-03  1.690222e-03
 3.321820e+14  9.013988e+33  1.943241e-01  9.541342e-03  1.838188e-03
 3.379694e+14  9.476869e+33  1.976080e-01  9.806188e-03  1.992511e-03
 3.438636e+14  9.963712e+33  2.009474e-01  1.007748e-02  2.153364e-03
 3.498667e+14  1.047573e+34  2.043433e-01  1.035536e-02  2.320842e-03
 3.559811e+14  1.101420e+34  2.077965e-01  1.064000e-02  2.495068e-03
 3.622093e+14  1.158046e+34  2.113081e-01  1.093154e-02  2.676219e-03
 3.685536e+14  1.217589e+34  2.148790e-01  1.123017e-02  2.864292e-03
 3.750166e+14  1.280197e+34  2.185103e-01  1.153602e-02  3.059553e-03
 3.816009e+14  1.346022e+34  2.222030e-01  1.184927e-02  3.262117e-03
 3.883092e+14  1.415226e+34  2.259580e-01  1.217009e-02  3.472070e-03
 3.951441e+14  1.487975e+34  2.297765e-01  1.249866e-02  3.689579e-03
 4.021087e+14  1.564445e+34  2.336595e-01  1.283513e-02  3.914900e-03
 4.092056e+14  1.644822e+34  2.376082e-01  1.317972e-02  4.148027e-03
 4.164380e+14  1.729296e+34  2.416236e-01  1.353257e-02  4.389309e-03
 4.238088e+14  1.818070e+34  2.457068e-01  1.389389e-02  4.638745e-03
 4.313214e+14  1.911354e+34  2.498591e-01  1.426386e-02  4.896628e-03
 4.389789e+14  2.009369e+34  2.540815e-01  1.464268e-02  5.163087e-03
 4.467846e+14  2.112347e+34  2.583753e-01  1.503055e-02  5.438285e-03
 4.547422e+14  2.220528e+34  2.627416e-01  1.542768e-02  5.722423e-03
 4.628550e+14  2.334164e+34  2.671817e-01  1.583424e-02  6.015726e-03
 4.711269e+14  2.453521e+34  2.716969e-01  1.625047e-02  6.318369e-03
 4.795615e+14  2.578873e+34  2.762883e-01  1.667657e-02  6.630542e-03
 4.881629e+14  2.710510e+34  2.809574e-01  1.711277e-02  6.952451e-03
 4.969349e+14  2.848733e+34  2.857053e-01  1.755928e-02  7.284305e-03
