6	126	38		Itext, Imax, Icore												
																
EOS Sly4, Douchin et Haensel (2001) core + inner crust / EOS Haensel Zdunik Dobaczewski outer crust																
																
Rho	Press	nbar	Ye	Ymu	Yn	Yp	Yla	Ysm	Ys0	Ysp	mstp	mstn	mstla	mstsm	msts0	mstsp
g/cm3	dyne/cm2	#/fm3	[A_cell]	[A_ion]	[Z]				
							
7.8339E+11	9.3667E+29	4.6800E-04	248.988	147.351	43.404											
6.8224E+11	8.6443E+29	4.0764E-04	225.644	146.398	43.359											
5.9119E+11	8.0149E+29	3.5331E-04	203.504	145.444	43.313											
5.1080E+11	7.4685E+29	3.0533E-04	183.061	144.490	43.265											
4.4199E+11	6.9945E+29	2.6426E-04	164.958	143.530	43.215											
3.9350E+11	6.9990E+29	2.3550E-04	130.000	130.000	40.000											
3.2850E+11	5.8160E+29	1.9660E-04	88.000	88.000	28.000											
2.6350E+11	4.4730E+29	1.5780E-04	86.000	86.000	28.000											
2.0440E+11	3.2900E+29	1.2240E-04	84.000	84.000	28.000											
1.8550E+11	2.8920E+29	1.1115E-04	84.000	84.000	28.000											
1.7110E+11	2.5970E+29	1.0250E-04	84.000	84.000	28.000											
1.3900E+11	2.0330E+29	8.3310E-05	82.000	82.000	28.000											
1.0760E+11	1.4950E+29	6.4550E-05	80.000	80.000	28.000											
8.3350E+10	1.1000E+29	5.0014E-05	78.000	78.000	28.000											
6.6170E+10	8.0890E+28	3.9710E-05	78.000	78.000	28.000											
5.2550E+10	5.9490E+28	3.1545E-05	78.000	78.000	28.000											
4.1720E+10	4.6280E+28	2.5060E-05	80.000	80.000	30.000											
3.3140E+10	3.4040E+28	1.9900E-05	80.000	80.000	30.000											
2.6310E+10	2.5030E+28	1.5810E-05	80.000	80.000	30.000											
2.1175E+10	1.9380E+28	1.2725E-05	78.000	78.000	30.000											
1.6600E+10	1.4250E+28	9.9810E-06	72.000	72.000	28.000											
1.2730E+10	1.0480E+28	7.6530E-06	84.000	84.000	34.000											
