  6    261   200          Itext Imax Icore

     IST EOS (set B param2)+ NZD-NV crust

   Rho        Press       nbar       Ye         Ymu        Yn         Yp         Yla        Ysm        Ys0        Ysp       mstp       mstn       mstla      mstsm      msts0      mstsp
  g/cm3     dyne/cm2     #/fm3     [A_cell]    [A_ion]     [Z]

    0.41546E+16    0.41047E+37   1.47703   0.22958   0   0.77042   0.22958   0   0   0   0   1.78624   1.78624   0   0   0   0
    0.41101E+16    0.40060E+37   1.46943   0.22799   0   0.77201   0.22799   0   0   0   0   1.77985   1.77985   0   0   0   0
    0.40657E+16    0.39089E+37   1.46177   0.22640   0   0.77360   0.22640   0   0   0   0   1.77346   1.77346   0   0   0   0
    0.40215E+16    0.38135E+37   1.45404   0.22480   0   0.77520   0.22480   0   0   0   0   1.76707   1.76707   0   0   0   0
    0.39775E+16    0.37196E+37   1.44625   0.22318   0   0.77682   0.22318   0   0   0   0   1.76068   1.76068   0   0   0   0
    0.39336E+16    0.36274E+37   1.43838   0.22156   0   0.77844   0.22156   0   0   0   0   1.75429   1.75429   0   0   0   0
    0.38899E+16    0.35367E+37   1.43045   0.21992   0   0.78008   0.21992   0   0   0   0   1.74790   1.74790   0   0   0   0
    0.38465E+16    0.34476E+37   1.42245   0.21827   0   0.78173   0.21827   0   0   0   0   1.74151   1.74151   0   0   0   0
    0.38031E+16    0.33600E+37   1.41438   0.21661   0   0.78339   0.21661   0   0   0   0   1.73512   1.73512   0   0   0   0
    0.37600E+16    0.32740E+37   1.40624   0.21495   0   0.78505   0.21495   0   0   0   0   1.72873   1.72873   0   0   0   0
    0.37171E+16    0.31894E+37   1.39802   0.21327   0   0.78673   0.21327   0   0   0   0   1.72234   1.72234   0   0   0   0
    0.36743E+16    0.31064E+37   1.38974   0.21158   0   0.78842   0.21158   0   0   0   0   1.71595   1.71595   0   0   0   0
    0.36317E+16    0.30248E+37   1.38139   0.20988   0   0.79012   0.20988   0   0   0   0   1.70956   1.70956   0   0   0   0
    0.35893E+16    0.29448E+37   1.37296   0.20817   0   0.79183   0.20817   0   0   0   0   1.70317   1.70317   0   0   0   0
    0.35471E+16    0.28661E+37   1.36447   0.20644   0   0.79356   0.20644   0   0   0   0   1.69678   1.69678   0   0   0   0
    0.35050E+16    0.27889E+37   1.35590   0.20471   0   0.79529   0.20471   0   0   0   0   1.69039   1.69039   0   0   0   0
    0.34632E+16    0.27132E+37   1.34725   0.20297   0   0.79703   0.20297   0   0   0   0   1.68400   1.68400   0   0   0   0
    0.34215E+16    0.26388E+37   1.33854   0.20121   0   0.79879   0.20121   0   0   0   0   1.67761   1.67761   0   0   0   0
    0.33800E+16    0.25659E+37   1.32975   0.19945   0   0.80055   0.19945   0   0   0   0   1.67122   1.67122   0   0   0   0
    0.33387E+16    0.24943E+37   1.32088   0.19767   0   0.80233   0.19767   0   0   0   0   1.66483   1.66483   0   0   0   0
    0.32976E+16    0.24241E+37   1.31194   0.19588   0   0.80412   0.19588   0   0   0   0   1.65844   1.65844   0   0   0   0
    0.32567E+16    0.23552E+37   1.30293   0.19409   0   0.80591   0.19409   0   0   0   0   1.65205   1.65205   0   0   0   0
