      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

6.2103946E+15	1.9977405E+36	2.3651000E+00	1.0636707E-03	0.0000000E+00	1.9706268E-01	1.7446838E-01	3.2191485E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7340471E-01	1.3314938E-01	1.1530919E-01	1.1515039E-01	6.8917332E-01	8.5790763E-01	8.5807849E-01	8.5695191E-01	1.0284112E+00	1.0277804E+00
6.1925761E+15	1.9893105E+36	2.3601000E+00	1.0800576E-03	0.0000000E+00	1.9724130E-01	1.7452680E-01	3.2189025E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7344675E-01	1.3289489E-01	1.1558474E-01	1.1542556E-01	6.8927003E-01	8.5795175E-01	8.5812279E-01	8.5699632E-01	1.0284024E+00	1.0277715E+00
6.1747775E+15	1.9808983E+36	2.3551000E+00	1.0966315E-03	0.0000000E+00	1.9742071E-01	1.7458553E-01	3.2186534E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7348890E-01	1.3263952E-01	1.1586111E-01	1.1570156E-01	6.8936703E-01	8.5799600E-01	8.5816722E-01	8.5704087E-01	1.0283935E+00	1.0277626E+00
6.1569987E+15	1.9725039E+36	2.3501000E+00	1.1133938E-03	0.0000000E+00	1.9760091E-01	1.7464456E-01	3.2184011E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7353117E-01	1.3238325E-01	1.1613832E-01	1.1597839E-01	6.8946432E-01	8.5804039E-01	8.5821179E-01	8.5708556E-01	1.0283846E+00	1.0277536E+00
6.1392398E+15	1.9641273E+36	2.3451000E+00	1.1303461E-03	0.0000000E+00	1.9778191E-01	1.7470389E-01	3.2181456E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7357355E-01	1.3212609E-01	1.1641637E-01	1.1625605E-01	6.8956191E-01	8.5808491E-01	8.5825649E-01	8.5713038E-01	1.0283757E+00	1.0277447E+00
6.1215007E+15	1.9557685E+36	2.3401000E+00	1.1474898E-03	0.0000000E+00	1.9796371E-01	1.7476353E-01	3.2178869E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7361604E-01	1.3186802E-01	1.1669526E-01	1.1653456E-01	6.8965979E-01	8.5812956E-01	8.5830133E-01	8.5717533E-01	1.0283667E+00	1.0277357E+00
6.1037814E+15	1.9474275E+36	2.3351000E+00	1.1648265E-03	0.0000000E+00	1.9814632E-01	1.7482348E-01	3.2176250E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7365865E-01	1.3160905E-01	1.1697499E-01	1.1681391E-01	6.8975797E-01	8.5817435E-01	8.5834630E-01	8.5722042E-01	1.0283577E+00	1.0277267E+00
6.0860821E+15	1.9391043E+36	2.3301000E+00	1.1823579E-03	0.0000000E+00	1.9832975E-01	1.7488373E-01	3.2173597E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7370137E-01	1.3134917E-01	1.1725558E-01	1.1709410E-01	6.8985645E-01	8.5821928E-01	8.5839141E-01	8.5726565E-01	1.0283487E+00	1.0277176E+00
6.0684025E+15	1.9307990E+36	2.3251000E+00	1.2000854E-03	0.0000000E+00	1.9851400E-01	1.7494429E-01	3.2170912E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7374421E-01	1.3108838E-01	1.1753702E-01	1.1737515E-01	6.8995522E-01	8.5826434E-01	8.5843666E-01	8.5731101E-01	1.0283397E+00	1.0277086E+00
6.0507429E+15	1.9225114E+36	2.3201000E+00	1.2180106E-03	0.0000000E+00	1.9869907E-01	1.7500517E-01	3.2168194E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7378716E-01	1.3082666E-01	1.1781931E-01	1.1765706E-01	6.9005430E-01	8.5830954E-01	8.5848205E-01	8.5735652E-01	1.0283306E+00	1.0276995E+00
