#mu_b [MeV]	pr[MeV/fm3]	e[MeV/fm3]	n_b[1/fm3]	n_n[1/fm3]	n_p[1/fm3]	m_n/M_n	 m_p/M_n	n_e[1/fm3]	n_mu[1/fm3]	n_u[1/fm3]	n_d[1/fm3]	n_s[1/fm3]	mu_e [MeV]	Y_p
958.668	1.06899	104.047	0.109648	0.104864	0.00478333	1	1	0.00478333	0	0	0	0	102.859	0.0436244
961.167	1.35637	114.201	0.120226	0.114632	0.00559399	1	1	0.00554346	5.05288e-05	0	0	0	108.042	0.0465288
964.139	1.73116	125.367	0.131826	0.125183	0.00664309	1	1	0.00635561	0.000287479	0	0	0	113.079	0.050393
967.819	2.23962	137.653	0.144544	0.136663	0.00788121	1	1	0.00723702	0.000644191	0	0	0	118.082	0.0545247
972.445	2.942	151.18	0.158489	0.149136	0.00935378	1	1	0.00823016	0.00112362	0	0	0	123.254	0.0590184
978.371	3.9277	166.094	0.17378	0.162739	0.0110411	1	1	0.00932342	0.00171764	0	0	0	128.486	0.0635346
986.003	5.31972	182.559	0.190546	0.177564	0.0129824	1	1	0.0105424	0.00243995	0	0	0	133.858	0.0681324
995.847	7.28842	200.774	0.20893	0.19372	0.0152096	1	1	0.0119055	0.0033041	0	0	0	139.395	0.0727978
1008.5	10.0631	220.971	0.229087	0.211328	0.0177585	1	1	0.0134322	0.00432632	0	0	0	145.115	0.0775187
1024.64	13.9441	243.435	0.251189	0.230522	0.0206664	1	1	0.0151421	0.00552429	0	0	0	151.028	0.0822745
1045.02	19.3142	268.508	0.275423	0.251453	0.0239699	1	1	0.017054	0.00691586	0	0	0	157.134	0.0870293
1070.39	26.6471	296.607	0.301995	0.274293	0.0277023	1	1	0.0191844	0.00851787	0	0	0	163.422	0.0917309
1101.54	36.5146	328.239	0.331131	0.299238	0.0318933	1	1	0.0215478	0.0103455	0	0	0	169.875	0.0963164
1139.19	49.5921	364.023	0.363078	0.326508	0.0365697	1	1	0.0241569	0.0124128	0	0	0	176.472	0.100721
1184.02	66.6647	404.703	0.398107	0.356349	0.0417579	1	1	0.0270246	0.0147333	0	0	0	183.195	0.104891
1236.65	88.6378	451.18	0.436516	0.389031	0.0474851	1	1	0.030164	0.0173211	0	0	0	190.031	0.108782
1297.63	116.552	504.534	0.47863	0.42483	0.0538	1	1	0.0336001	0.0201999	0	0	0	196.989	0.112404
1367.48	151.607	566.058	0.524807	0.464068	0.0607398	1	1	0.0373515	0.0233883	0	0	0	204.063	0.115737
1446.7	195.194	637.292	0.57544	0.507074	0.0683659	1	1	0.0414496	0.0269164	0	0	0	211.268	0.118806
1535.78	248.939	720.073	0.630957	0.554212	0.0767455	1	1	0.0459286	0.0308169	0	0	0	218.62	0.121633
1635.28	314.753	816.582	0.691831	0.605878	0.0859526	1	1	0.0508261	0.0351264	0	0	0	226.129	0.124239
1745.79	394.901	929.413	0.758578	0.662512	0.0960661	1	1	0.0561823	0.0398838	0	0	0	233.809	0.12664
1867.99	492.081	1061.65	0.831764	0.724595	0.107168	1	1	0.0620384	0.0451299	0	0	0	241.665	0.128845
2002.68	609.518	1216.95	0.912011	0.792666	0.119345	1	1	0.0684377	0.0509072	0	0	0	249.704	0.130859
2150.75	751.077	1399.68	1	0.867314	0.132686	1	1	0.0754251	0.0572605	0	0	0	257.929	0.132686
2313.24	921.399	1615.01	1.09648	0.949191	0.147287	1	1	0.0830493	0.064238	0	0	0	266.342	0.134328
2491.3	1126.05	1869.14	1.20226	1.03901	0.163256	1	1	0.0913634	0.0718924	0	0	0	274.949	0.13579
2686.24	1371.73	2169.42	1.31826	1.13755	0.18071	1	1	0.100427	0.080283	0	0	0	283.756	0.137083
2899.52	1666.45	2524.64	1.44544	1.24565	0.199785	1	1	0.110308	0.0894766	0	0	0	292.773	0.138217
3132.77	2019.84	2945.26	1.58489	1.36426	0.220632	1	1	0.121083	0.0995486	0	0	0	302.011	0.139209
3387.76	2443.46	3443.78	1.7378	1.49438	0.243422	1	1	0.132838	0.110584	0	0	0	311.483	0.140075
3666.46	2951.15	4035.15	1.90546	1.63712	0.268345	1	1	0.145668	0.122677	0	0	0	321.205	0.140829
3971.06	3559.53	4737.19	2.0893	1.79368	0.295612	1	1	0.159679	0.135933	0	0	0	331.19	0.141489
4303.93	4288.53	5571.21	2.29087	1.96541	0.325456	1	1	0.174989	0.150467	0	0	0	341.453	0.142067
4667.71	5162.09	6562.68	2.51189	2.15375	0.358132	1	1	0.191724	0.166407	0	0	0	352.008	0.142575



#File from Hovik Grigorian, June 13 2016
