#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.1460803774178707E+09  0.2964294234277104E+26  0.8795463965380887E-07  0.5057430326523225E-09  0.0000000000000000E+00
  0.1519235925145855E+09  0.3125279138555379E+26  0.9147204182914048E-07  0.5259684096233209E-09  0.0000000000000000E+00
  0.1580005362151689E+09  0.3294868856977684E+26  0.9513009729859005E-07  0.5470025686882783E-09  0.0000000000000000E+00
  0.1643205576637757E+09  0.3473517079381524E+26  0.9893442986384840E-07  0.5688778487994666E-09  0.0000000000000000E+00
  0.1708933799703267E+09  0.3661701148845040E+26  0.1028908881522422E-06  0.5916278818272459E-09  0.0000000000000000E+00
  0.1777291151691398E+09  0.3859923284171166E+26  0.1070055546029413E-06  0.6152876442446790E-09  0.0000000000000000E+00
  0.1848382797759054E+09  0.4068711865167123E+26  0.1112847548122506E-06  0.6398935108780136E-09  0.0000000000000000E+00
  0.1922318109669416E+09  0.4288622783935148E+26  0.1157350672523305E-06  0.6654833108056115E-09  0.0000000000000000E+00
  0.1999210834056193E+09  0.4520240865552554E+26  0.1203633333782628E-06  0.6920963854911875E-09  0.0000000000000000E+00
  0.2079179267418441E+09  0.4764181361690348E+26  0.1251766681389746E-06  0.7197736492406721E-09  0.0000000000000000E+00
  0.2162346438115178E+09  0.5021091520904536E+26  0.1301824709081535E-06  0.7485576520755732E-09  0.0000000000000000E+00
  0.2248840295639786E+09  0.5291652239521755E+26  0.1353884368519277E-06  0.7784926451194220E-09  0.0000000000000000E+00
  0.2338793907465377E+09  0.5576579797245489E+26  0.1408025687507605E-06  0.8096246485977628E-09  0.0000000000000000E+00
  0.2432345663763992E+09  0.5876627681813949E+26  0.1464331892936987E-06  0.8420015225561455E-09  0.0000000000000000E+00
  0.2529639490314552E+09  0.6192588507267067E+26  0.1522889538638440E-06  0.8756730404047774E-09  0.0000000000000000E+00
  0.2630825069927134E+09  0.6525296030612286E+26  0.1583788638346671E-06  0.9106909654028162E-09  0.0000000000000000E+00
  0.2736058072724220E+09  0.6875627271921925E+26  0.1647122803975677E-06  0.9471091301998153E-09  0.0000000000000000E+00
  0.2845500395633188E+09  0.7244504743152575E+26  0.1712989389418997E-06  0.9849835195565328E-09  0.0000000000000000E+00
  0.2959320411458516E+09  0.7632898791247665E+26  0.1781489640095261E-06  0.1024372356372192E-08  0.0000000000000000E+00
  0.3077693227916857E+09  0.8041830061370496E+26  0.1852728848468513E-06  0.1065336191150388E-08  0.0000000000000000E+00
  0.3200800957033532E+09  0.8472372086410245E+26  0.1926816515781913E-06  0.1107937995041080E-08  0.0000000000000000E+00
  0.3328832995314873E+09  0.8925654009220413E+26  0.2003866520252992E-06  0.1152243256601666E-08  0.0000000000000000E+00
  0.3461986315127468E+09  0.9402863444376898E+26  0.2083997291988502E-06  0.1198320082425795E-08  0.0000000000000000E+00
  0.3600465767732567E+09  0.9905249486594200E+26  0.2167331994887234E-06  0.1246239301794568E-08  0.0000000000000000E+00
  0.3744484398441870E+09  0.1043412587329657E+27  0.2253998715809859E-06  0.1296074575510936E-08  0.0000000000000000E+00
  0.3894263774379545E+09  0.1099087430923057E+27  0.2344130661306034E-06  0.1347902509084546E-08  0.0000000000000000E+00
  0.4050034325354728E+09  0.1157694796140197E+27  0.2437866362200547E-06  0.1401802770440997E-08  0.0000000000000000E+00
  0.4212035698368917E+09  0.1219387513305527E+27  0.2535349886352358E-06  0.1457858212336382E-08  0.0000000000000000E+00
  0.4380517126303673E+09  0.1284326312584030E+27  0.2636731059912921E-06  0.1516154999665296E-08  0.0000000000000000E+00
  0.4555737811355820E+09  0.1352680229979873E+27  0.2742165697423171E-06  0.1576782741857958E-08  0.0000000000000000E+00
  0.4737967323810053E+09  0.1424627034128082E+27  0.2851815841102144E-06  0.1639834630569975E-08  0.0000000000000000E+00
  0.4927486016762456E+09  0.1500353674942491E+27  0.2965850009694267E-06  0.1705407582876392E-08  0.0000000000000000E+00
  0.5124585457432954E+09  0.1580056755238156E+27  0.3084443457256997E-06  0.1773602390190161E-08  0.0000000000000000E+00
  0.5329568875730273E+09  0.1663943026501523E+27  0.3207778442285757E-06  0.1844523873133974E-08  0.0000000000000000E+00
  0.5542751630759484E+09  0.1752229910045210E+27  0.3336044507588925E-06  0.1918281042603569E-08  0.0000000000000000E+00
  0.5764461695989863E+09  0.1845146044842834E+27  0.3469438771342116E-06  0.1994987267270158E-08  0.0000000000000000E+00
  0.5995040163829458E+09  0.1942931863409714E+27  0.3608166229768154E-06  0.2074760447779534E-08  0.0000000000000000E+00
  0.6234841770382637E+09  0.2045840197162592E+27  0.3752440071906915E-06  0.2157723197915757E-08  0.0000000000000000E+00
  0.6484235441197942E+09  0.2154136912765837E+27  0.3902482006957755E-06  0.2244003033008018E-08  0.0000000000000000E+00
  0.6743604858845861E+09  0.2268101581047184E+27  0.4058522604696549E-06  0.2333732565870480E-08  0.0000000000000000E+00
  0.7013349053199695E+09  0.2388028180149312E+27  0.4220801649489304E-06  0.2427049710576460E-08  0.0000000000000000E+00
  0.7293883015327684E+09  0.2514225834665915E+27  0.4389568508445277E-06  0.2524097894380465E-08  0.0000000000000000E+00
  0.7585638335940791E+09  0.2647019592602910E+27  0.4565082514274051E-06  0.2625026278114084E-08  0.0000000000000000E+00
  0.7889063869378424E+09  0.2786751242096310E+27  0.4747613363433688E-06  0.2729989985394871E-08  0.0000000000000000E+00
