      6    204    142          Itext Imax Icore

	GM3 EOS

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]	

 0.248199E+16   0.875689E+36   0.110000E+01   0.222810E+00   0.911128E-01   0.686077E+00   0.313923E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.662536E-01   0.662536E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.245080E+16   0.857420E+36   0.109000E+01   0.222420E+00   0.907635E-01   0.686816E+00   0.313184E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.666630E-01   0.666630E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.241980E+16   0.839338E+36   0.108000E+01   0.222020E+00   0.904120E-01   0.687568E+00   0.312432E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.670786E-01   0.670786E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.238898E+16   0.821446E+36   0.107000E+01   0.221610E+00   0.900581E-01   0.688332E+00   0.311668E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.675006E-01   0.675006E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.235835E+16   0.803742E+36   0.106000E+01   0.221200E+00   0.896957E-01   0.689104E+00   0.310896E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.679292E-01   0.679292E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.232790E+16   0.786229E+36   0.105000E+01   0.220790E+00   0.893245E-01   0.689886E+00   0.310114E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.683645E-01   0.683645E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.229764E+16   0.768905E+36   0.104000E+01   0.220360E+00   0.889563E-01   0.690683E+00   0.309317E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.688066E-01   0.688066E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.226755E+16   0.751772E+36   0.103000E+01   0.219930E+00   0.885788E-01   0.691491E+00   0.308509E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.692556E-01   0.692556E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.223765E+16   0.734831E+36   0.102000E+01   0.219500E+00   0.881919E-01   0.692308E+00   0.307692E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.697118E-01   0.697118E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.220793E+16   0.718080E+36   0.101000E+01   0.219050E+00   0.878071E-01   0.693143E+00   0.306857E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.701753E-01   0.701753E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.217840E+16   0.701522E+36   0.100000E+01   0.218600E+00   0.874124E-01   0.693987E+00   0.306013E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.706463E-01   0.706463E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.214904E+16   0.685156E+36   0.990000E+00   0.218140E+00   0.870134E-01   0.694846E+00   0.305154E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.711248E-01   0.711248E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.211987E+16   0.668984E+36   0.980000E+00   0.217680E+00   0.866040E-01   0.695716E+00   0.304284E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.716112E-01   0.716112E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.209088E+16   0.653005E+36   0.970000E+00   0.217210E+00   0.861898E-01   0.696600E+00   0.303400E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.721055E-01   0.721055E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.206207E+16   0.637221E+36   0.960000E+00   0.216730E+00   0.857704E-01   0.697500E+00   0.302500E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.726079E-01   0.726079E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.203343E+16   0.621630E+36   0.950000E+00   0.216240E+00   0.853455E-01   0.698414E+00   0.301586E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.731186E-01   0.731186E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.200498E+16   0.606235E+36   0.940000E+00   0.215740E+00   0.849149E-01   0.699345E+00   0.300655E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.736379E-01   0.736379E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.197671E+16   0.591036E+36   0.930000E+00   0.215240E+00   0.844724E-01   0.700287E+00   0.299713E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.741658E-01   0.741658E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.194862E+16   0.576032E+36   0.920000E+00   0.214720E+00   0.840293E-01   0.701250E+00   0.298750E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.747026E-01   0.747026E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.192070E+16   0.561225E+36   0.910000E+00   0.214200E+00   0.835736E-01   0.702226E+00   0.297774E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.752485E-01   0.752485E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.189297E+16   0.546616E+36   0.900000E+00   0.213670E+00   0.831109E-01   0.703219E+00   0.296781E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.758036E-01   0.758036E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.186541E+16   0.532203E+36   0.890000E+00   0.213130E+00   0.826407E-01   0.704229E+00   0.295771E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.763682E-01   0.763682E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.183803E+16   0.517989E+36   0.880000E+00   0.212580E+00   0.821626E-01   0.705257E+00   0.294743E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.769425E-01   0.769425E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.181082E+16   0.503973E+36   0.870000E+00   0.212010E+00   0.816819E-01   0.706308E+00   0.293692E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.775268E-01   0.775268E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.178379E+16   0.490156E+36   0.860000E+00   0.211440E+00   0.811870E-01   0.707373E+00   0.292627E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.781211E-01   0.781211E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.175694E+16   0.476538E+36   0.850000E+00   0.210860E+00   0.806830E-01   0.708457E+00   0.291543E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.787258E-01   0.787258E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.173026E+16   0.463120E+36   0.840000E+00   0.210260E+00   0.801751E-01   0.709565E+00   0.290435E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.793410E-01   0.793410E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
