      6    246    185          Itext Imax Icore

      Akmal, Pandariphande & Ravenhall: A18 + dv + UIX* model (the best one)

     Rho          Press           nbar            Ye            Ymu             Yn              Yp            Yla            Ysm            Ys0            Ysp           mstp            mstn           mstla          mstsm          msts0         mstsp
    g/cm3         dyne/cm2        #/fm3         [A_cell]       [A_ion]          [Z]

  0.3064E+16     0.1557E+37     0.1270E+01     0.1567E+00     0.1365E+00     0.7068E+00     0.2932E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1911E+01     0.1357E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3026E+16     0.1522E+37     0.1260E+01     0.1560E+00     0.1358E+00     0.7082E+00     0.2918E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1887E+01     0.1344E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2989E+16     0.1487E+37     0.1250E+01     0.1554E+00     0.1351E+00     0.7095E+00     0.2905E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1863E+01     0.1332E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2952E+16     0.1453E+37     0.1240E+01     0.1548E+00     0.1344E+00     0.7108E+00     0.2892E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1839E+01     0.1320E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2915E+16     0.1420E+37     0.1230E+01     0.1542E+00     0.1336E+00     0.7122E+00     0.2878E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1815E+01     0.1308E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2879E+16     0.1387E+37     0.1220E+01     0.1535E+00     0.1329E+00     0.7136E+00     0.2864E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1792E+01     0.1296E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2843E+16     0.1354E+37     0.1210E+01     0.1529E+00     0.1322E+00     0.7149E+00     0.2851E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1769E+01     0.1284E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2807E+16     0.1322E+37     0.1200E+01     0.1522E+00     0.1315E+00     0.7163E+00     0.2837E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1746E+01     0.1273E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2772E+16     0.1291E+37     0.1190E+01     0.1515E+00     0.1307E+00     0.7177E+00     0.2823E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1723E+01     0.1261E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.2736E+16     0.1260E+37     0.1180E+01     0.1509E+00     0.1300E+00     0.7192E+00     0.2808E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1701E+01     0.1250E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
