
 EOS                                                                            

              Mstar     = 1.000E+00    Rstar     = 1.177E+06
              Mexo      = 0.000E+00    Rexo      = 0.000E+00
              Mcore     = 9.785E-01    Rcore     = 1.033E+06
              Mincrust  = 2.150E-02    Rincrust  = 8.056E+04
              Moutcrust = 4.984E-05    Routcrust = 6.305E+04

rho_cen=   0.718E+15
  icore= 401   sfn1s0=  0.                 emnco= 5.   rhoexo=   5.000E+24
  idrip= 553   sfn3p2=  0.  fn3p2= 1.00    emncr= 5.     cexo=   1.000E+25
   imax= 769   sfp1s0=  0.  fp1s0= 1.00      emp= 3.     pexo=   6.000E+00

            DUrca not possible
          e-ion bremstrahlung:  1             bubble neutrinos:  0
             plasma neutrinos:  1              neutron 1S0 pbf:  1
               pair neutrinos:  0              neutron 3P2 pbf:  1
              photo neutrinos:  0               proton 1S0 pbf:  1



    Step      Time            Teff       L_phot       L_nu        L_heat 
             [years]      at inf [K]    [erg/sec]   [erg/sec]   [erg/sec]

     150  5000.08502           710022.511     3.353487347E+32 2.372025892E+29  0.00000000    
     151  5000.09233           710022.498     3.353487103E+32 2.372025231E+29  0.00000000    
     152  5000.09720           710022.490     3.353486940E+32 2.372024791E+29  0.00000000    
     153  5000.10045           710022.484     3.353486831E+32 2.372024497E+29  0.00000000    
     154  5000.10262           710022.480     3.353486759E+32 2.372024301E+29  0.00000000    
     155  5000.10406           710022.477     3.353486710E+32 2.372024171E+29  0.00000000    
     156  5000.10502           710022.476     3.353486678E+32 2.372024084E+29  0.00000000    
     157  5000.10567           710022.475     3.353486657E+32 2.372024026E+29  0.00000000    
     158  5000.10609           710022.474     3.353486642E+32 2.372023987E+29  0.00000000    
     159  5000.10638           710022.473     3.353486633E+32 2.372023962E+29  0.00000000    
     160  5000.10657           710022.473     3.353486626E+32 2.372023944E+29  0.00000000    
     161  5000.10670           710022.473     3.353486622E+32 2.372023933E+29  0.00000000    
     162  5000.10680           710022.473     3.353486619E+32 2.372023924E+29  0.00000000    
     163  5000.10690           710022.472     3.353486615E+32 2.372024312E+29 1.762545291E+35
     164  5000.10700           710022.472     3.353486612E+32 2.372024704E+29 1.762545291E+35
     165  5000.10712           710022.472     3.353486608E+32 2.372025179E+29 1.762545291E+35
     166  5000.10726           710022.472     3.353486606E+32 2.372025753E+29 1.762545291E+35
     167  5000.10743           710022.473     3.353486628E+32 2.372026446E+29 1.762545291E+35
     168  5000.10764           710022.485     3.353486852E+32 2.372027282E+29 1.762545291E+35
     169  5000.10789           710022.562     3.353488316E+32 2.372028289E+29 1.762545291E+35
     170  5000.10819           710022.961     3.353495840E+32 2.372029502E+29 1.762545291E+35
     171  5000.10855           710024.634     3.353527443E+32 2.372030962E+29 1.762545291E+35
     172  5000.10898           710030.515     3.353638552E+32 2.372032718E+29 1.762545291E+35
     173  5000.10949           710048.162     3.353971975E+32 2.372034831E+29 1.762545291E+35
     174  5000.11011           710094.142     3.354840817E+32 2.372037373E+29 1.762545291E+35
     175  5000.11085           710199.783     3.356837680E+32 2.372040429E+29 1.762545291E+35
     176  5000.11175           710416.844     3.360943409E+32 2.372044104E+29 1.762545291E+35
     177  5000.11282           710820.797     3.368594238E+32 2.372048524E+29 1.762545291E+35
     178  5000.11410           711509.569     3.381669658E+32 2.372053838E+29 1.762545291E+35
     179  5000.11564           712596.771     3.402386126E+32 2.372060229E+29 1.762545291E+35
     180  5000.11749           714200.207     3.433112895E+32 2.372067918E+29 1.762545291E+35
     181  5000.11971           716428.033     3.476149802E+32 2.372077172E+29 1.762545291E+35
     182  5000.12237           719365.553     3.533513455E+32 2.372088315E+29 1.762545291E+35
     183  5000.12557           723065.333     3.606769256E+32 2.372101738E+29 1.762545291E+35
     184  5000.12940           727542.356     3.696930845E+32 2.372117914E+29 1.762545291E+35
     185  5000.13400           732774.741     3.804434940E+32 2.372137415E+29 1.762545291E+35
     186  5000.13952           738709.635     3.929192021E+32 2.372160936E+29 1.762545291E+35
     187  5000.14615           745273.148     4.070709350E+32 2.372189324E+29 1.762545291E+35
     188  5000.15410           752382.671     4.228276073E+32 2.372223617E+29 1.762545291E+35
     189  5000.16363           759959.425     4.401186988E+32 2.372265104E+29 1.762545291E+35
     190  5000.17508           767938.888     4.588966026E+32 2.372315401E+29 1.762545291E+35
     191  5000.18882           776277.196     4.791544349E+32 2.372376570E+29 1.762545291E+35
     192  5000.20530           784952.673     5.009358233E+32 2.372451273E+29 1.762545291E+35
     193  5000.22509           793962.859     5.243351189E+32 2.372543009E+29 1.762545291E+35
     194  5000.24882           803318.325     5.494888653E+32 2.372656458E+29 1.762545291E+35
     195  5000.27731           813035.063     5.765610500E+32 2.372798018E+29 1.762545291E+35
     196  5000.31149           823126.011     6.057222162E+32 2.372976671E+29 1.762545291E+35
     197  5000.35251           833593.246     6.371254409E+32 2.373205434E+29 1.762545291E+35
     198  5000.40174           844423.486     6.708870588E+32 2.373503735E+29 1.762545291E+35
     199  5000.46080           855588.181     7.070779676E+32 2.373901161E+29 1.762545291E+35
     200  5000.53169           867048.601     7.457306041E+32 2.374442979E+29 1.762545291E+35
     201  5000.61674           878764.466     7.868612331E+32 2.375197661E+29 1.762545291E+35
     202  5000.71881           890702.777     8.304995947E+32 2.376266364E+29 1.762545291E+35
     203  5000.84130           902843.107     8.767127974E+32 2.377793986E+29 1.762545291E+35
     204  5000.98828           915177.048     9.256113643E+32 2.379981299E+29 1.762545291E+35
     205  5001.16465           927702.037     9.773322739E+32 2.383097699E+29 1.762545291E+35
     206  5001.37631           940411.916     1.032002367E+33 2.387494321E+29 1.762545291E+35
     207  5001.63029           953287.207     1.089690734E+33 2.393617502E+29 1.762545291E+35
     208  5001.93507           966287.291     1.150358669E+33 2.402022548E+29 1.762545291E+35
     209  5002.30080           979345.293     1.213812377E+33 2.413387638E+29 1.762545291E+35
     210  5002.73968           992365.458     1.279660474E+33 2.428527607E+29 1.762545291E+35
     211  5003.26634           1005222.72     1.347278537E+33 2.448407674E+29 1.762545291E+35
     212  5003.89833           1017764.83     1.415787113E+33 2.474158382E+29 1.762545291E+35
     213  5004.65671           1029818.05     1.484055687E+33 2.507095409E+29 1.762545291E+35
     214  5005.56678           1041198.02     1.550749073E+33 2.548751706E+29 1.762545291E+35
     215  5006.65885           1051726.44     1.614430538E+33 2.600934082E+29 1.762545291E+35
     216  5007.96934           1061253.08     1.673724835E+33 2.665820639E+29 1.762545291E+35
     217  5009.54193           1069680.42     1.727525190E+33 2.746117324E+29 1.762545291E+35
     218  5010.56369           1074176.30     1.756752012E+33 2.799525962E+29 1.762545291E+35
     219  5011.24487           1076811.19     1.774052359E+33 2.835632335E+29 1.762545291E+35
     220  5011.69898           1078425.09     1.784711963E+33 2.859917362E+29 1.762545291E+35
     221  5012.00173           1079442.51     1.791456513E+33 2.876200617E+29 1.762545291E+35
     222  5012.20356           1080096.14     1.795799535E+33 2.887097088E+29 1.762545291E+35
     223  5012.33811           1080521.32     1.798628869E+33 2.894379487E+29 1.762545291E+35
     224  5012.42781           1080800.18     1.800486372E+33 2.899242424E+29 1.762545291E+35
     225  5012.48761           1080984.09     1.801712123E+33 2.902487931E+29 1.762545291E+35
     226  5012.52748           1081105.80     1.802523751E+33 2.904653177E+29 1.762545291E+35
     227  5012.55406           1081186.56     1.803062390E+33 2.906097373E+29 1.762545291E+35
     228  5012.57178           1081240.23     1.803420400E+33 2.907060481E+29 1.762545291E+35
     229  5012.58359           1081275.93     1.803658593E+33 2.907702691E+29 1.762545291E+35
     230  5012.59147           1081299.69     1.803817176E+33 2.908130892E+29 1.762545291E+35
     231  5012.59672           1081315.52     1.803922803E+33 2.908416387E+29 1.762545291E+35
     232  5012.60022           1081326.07     1.803993180E+33 2.908606728E+29 1.762545291E+35
     233  5012.60255           1081333.10     1.804040078E+33 2.908733628E+29 1.762545291E+35
     234  5012.60411           1081337.78     1.804071336E+33 2.908818231E+29 1.762545291E+35
     235  5012.60514           1081340.90     1.804092171E+33 2.908874633E+29 1.762545291E+35
     236  5012.60583           1081342.98     1.804106059E+33 2.908912236E+29 1.762545291E+35
     237  5012.60630           1081344.37     1.804115317E+33 2.908937304E+29 1.762545291E+35
     238  5012.60660           1081345.30     1.804121489E+33 2.908954016E+29 1.762545291E+35
     239  5012.60681           1081345.91     1.804125603E+33 2.908965158E+29 1.762545291E+35
     240  5012.60694           1081346.32     1.804128346E+33 2.908972586E+29 1.762545291E+35
     241  5012.60704           1081346.62     1.804130354E+33 2.908978025E+29 1.762545291E+35
     242  5012.60714           1081346.92     1.804132363E+33 2.908983464E+29 1.762545291E+35
     243  5012.60724           1081347.23     1.804134371E+33 2.908982499E+29  0.00000000    
     244  5012.60736           1081347.59     1.804136781E+33 2.908981364E+29  0.00000000    
     245  5012.60751           1081348.02     1.804139673E+33 2.908980017E+29  0.00000000    
     246  5012.60768           1081348.54     1.804143141E+33 2.908978413E+29  0.00000000    
     247  5012.60789           1081349.16     1.804147287E+33 2.908976504E+29  0.00000000    
     248  5012.60814           1081349.89     1.804152145E+33 2.908974237E+29  0.00000000    
     249  5012.60844           1081350.67     1.804157327E+33 2.908971556E+29  0.00000000    
     250  5012.60879           1081351.17     1.804160720E+33 2.908968400E+29  0.00000000    
     251  5012.60922           1081350.28     1.804154783E+33 2.908964704E+29  0.00000000    
     252  5012.60974           1081344.81     1.804118229E+33 2.908960396E+29  0.00000000    
     253  5012.61036           1081327.27     1.804001197E+33 2.908955404E+29  0.00000000    
     254  5012.61110           1081282.80     1.803704424E+33 2.908949650E+29  0.00000000    
     255  5012.61199           1081185.78     1.803057207E+33 2.908943057E+29  0.00000000    
     256  5012.61306           1080997.68     1.801802774E+33 2.908935552E+29  0.00000000    
     257  5012.61435           1080667.15     1.799600041E+33 2.908927069E+29  0.00000000    
     258  5012.61589           1080133.27     1.796046509E+33 2.908917564E+29  0.00000000    
     259  5012.61774           1079331.53     1.790719872E+33 2.908907021E+29  0.00000000    
     260  5012.61996           1078201.07     1.783229457E+33 2.908895477E+29  0.00000000    
     261  5012.62262           1076691.80     1.773265729E+33 2.908883041E+29  0.00000000    
     262  5012.62581           1074769.75     1.760637471E+33 2.908869935E+29  0.00000000    
     263  5012.62965           1072419.95     1.745290534E+33 2.908856534E+29  0.00000000    
     264  5012.63425           1069646.65     1.727307009E+33 2.908843434E+29  0.00000000    
     265  5012.63977           1066471.27     1.706887290E+33 2.908831546E+29  0.00000000    
     266  5012.64639           1062928.50     1.684319247E+33 2.908822217E+29  0.00000000    
     267  5012.65434           1059061.00     1.659938883E+33 2.908817424E+29  0.00000000    
