      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)        Z
  0.177828E+36 0.892124E+15 0.473533      13.0724      1.96270     0.268845      2.38443      2.72398     0.340468    
  0.188365E+36 0.912645E+15 0.482606      13.0504      1.99395     0.273851      2.43298      2.78002     0.349984    
  0.199526E+36 0.933639E+15 0.491852      13.0263      2.02443     0.278769      2.48103      2.83419     0.359612    
  0.211349E+36 0.955115E+15 0.501276      13.0001      2.05411     0.283595      2.52854      2.88642     0.369353    
  0.223872E+36 0.977085E+15 0.510880      12.9719      2.08298     0.288325      2.57546      2.93663     0.379202    
  0.237137E+36 0.999561E+15 0.520668      12.9417      2.11102     0.292955      2.62178      2.98475     0.389155    
  0.251189E+36 0.102678E+16 0.531627      12.9096      2.13812     0.297465      2.66728      3.03052     0.399179    
  0.266073E+36 0.105785E+16 0.543535      12.8756      2.16380     0.301770      2.71122      3.07276     0.409121    
  0.281838E+36 0.108987E+16 0.555710      12.8395      2.18797     0.305848      2.75344      3.11106     0.418957    
  0.298538E+36 0.112285E+16 0.568158      12.8010      2.21064     0.309695      2.79394      3.14530     0.428687    
  0.316228E+36 0.115684E+16 0.580885      12.7604      2.23183     0.313313      2.83273      3.17546     0.438306    
  0.334965E+36 0.119185E+16 0.593896      12.7175      2.25158     0.316701      2.86982      3.20156     0.447815    
  0.354813E+36 0.122792E+16 0.607199      12.6724      2.26992     0.319864      2.90526      3.22365     0.457213    
  0.375837E+36 0.126508E+16 0.620801      12.6252      2.28688     0.322804      2.93905      3.24182     0.466500    
  0.398107E+36 0.130337E+16 0.634706      12.5760      2.30251     0.325526      2.97125      3.25617     0.475677    
  0.421696E+36 0.134281E+16 0.648924      12.5249      2.31684     0.328034      3.00186      3.26680     0.484738    
  0.446684E+36 0.138345E+16 0.663459      12.4719      2.32992     0.330332      3.03094      3.27385     0.493684    
  0.473151E+36 0.142532E+16 0.678321      12.4172      2.34178     0.332426      3.05850      3.27744     0.502515    
  0.501187E+36 0.146846E+16 0.693515      12.3608      2.35246     0.334321      3.08459      3.27770     0.511228    
  0.530884E+36 0.151290E+16 0.709050      12.3029      2.36200     0.336021      3.10922      3.27480     0.519819    
  0.562341E+36 0.155869E+16 0.724932      12.2435      2.37044     0.337533      3.13245      3.26886     0.528288    
  0.595662E+36 0.160586E+16 0.741171      12.1829      2.37782     0.338862      3.15430      3.26005     0.536632    
  0.630957E+36 0.165446E+16 0.757773      12.1210      2.38418     0.340014      3.17479      3.24851     0.544848    
  0.668344E+36 0.171712E+16 0.776873      12.0582      2.38944     0.340974      3.19376      3.23426     0.552860    
  0.707946E+36 0.178280E+16 0.796564      11.9949      2.39348     0.341710      3.21087      3.21704     0.560566    
  0.749894E+36 0.185101E+16 0.816754      11.9308      2.39628     0.342218      3.22612      3.19680     0.567954    
  0.794328E+36 0.192181E+16 0.837456      11.8659      2.39789     0.342502      3.23955      3.17361     0.575022    
  0.841395E+36 0.199533E+16 0.858683      11.8003      2.39835     0.342569      3.25122      3.14762     0.581773    
  0.891251E+36 0.207166E+16 0.880448      11.7339      2.39770     0.342426      3.26118      3.11900     0.588209    
  0.944061E+36 0.215091E+16 0.902765      11.6669      2.39601     0.342083      3.26952      3.08794     0.594335    
  0.100000E+37 0.223320E+16 0.925647      11.5992      2.39333     0.341549      3.27631      3.05464     0.600153    
  0.105925E+37 0.231863E+16 0.949109      11.5310      2.38971     0.340834      3.28161      3.01929     0.605670    
  0.112202E+37 0.240732E+16 0.973166      11.4623      2.38522     0.339947      3.28549      2.98210     0.610890    
  0.118850E+37 0.249942E+16 0.997833      11.3932      2.37989     0.338899      3.28803      2.94326     0.615818    
  0.125893E+37 0.259503E+16  1.02312      11.3238      2.37379     0.337699      3.28929      2.90295     0.620458    
  0.133352E+37 0.269430E+16  1.04906      11.2542      2.36696     0.336356      3.28934      2.86136     0.624816    
  0.141254E+37 0.279737E+16  1.07565      11.1844      2.35946     0.334880      3.28824      2.81867     0.628897    
  0.149624E+37 0.290882E+16  1.10342      11.1145      2.35132     0.333281      3.28606      2.77504     0.632705    
  0.158489E+37 0.303987E+16  1.13365      11.0450      2.34260     0.331566      3.28278      2.73079     0.636192    
  0.167880E+37 0.317682E+16  1.16469      10.9761      2.33329     0.329733      3.27835      2.68595     0.639324    
  0.177828E+37 0.331995E+16  1.19659      10.9077      2.32340     0.327783      3.27281      2.64055     0.642102    
  0.188365E+37 0.346953E+16  1.22937      10.8399      2.31296     0.325721      3.26619      2.59467     0.644529    
  0.199526E+37 0.362584E+16  1.26304      10.7726      2.30201     0.323556      3.25856      2.54840     0.646611    
  0.211349E+37 0.378920E+16  1.29763      10.7058      2.29057     0.321293      3.24996      2.50186     0.648359    
  0.223872E+37 0.395991E+16  1.33317      10.6396      2.27870     0.318942      3.24047      2.45514     0.649780    
  0.237137E+37 0.413832E+16  1.36968      10.5741      2.26642     0.316510      3.23014      2.40836     0.650889    
  0.251189E+37 0.432476E+16  1.40719      10.5092      2.25378     0.314005      3.21903      2.36163     0.651690    
  0.266073E+37 0.451961E+16  1.44574      10.4450      2.24081     0.311435      3.20721      2.31505     0.652199    
  0.281838E+37 0.472323E+16  1.48533      10.3815      2.22755     0.308807      3.19473      2.26870     0.652423    
  0.298538E+37 0.493603E+16  1.52601      10.3189      2.21403     0.306130      3.18164      2.22268     0.652375    
  0.316228E+37 0.515842E+16  1.56781      10.2571      2.20029     0.303410      3.16801      2.17707     0.652066    
