       0.300     145.000     150.000     313.005       Alpha_c    Bbag^1/4     Ms      Pr  ===>  E/A at P=0:     915.818


         nbar              rho           presion         ne            nu            nd            ns            mue           muu           mud           mus    
       [fm^-3]         [gm cm^-3]      [erg cm^-3]     [fm^-3]       [fm^-3]       [fm^-3]       [fm^-3]        [MeV]         [MeV]         [MeV]         [MeV]   

 3.95285114035E-01 6.55454642723E+14   5.76526E+34   7.33851E-06   3.95292E-01   4.39010E-01   3.51553E-01   1.18632E+01   3.33386E+02   3.45249E+02   3.45249E+02
 3.89161581212E-01 6.44335525866E+14   5.45147E+34   7.51713E-06   3.89169E-01   4.32803E-01   3.45513E-01   1.19587E+01   3.31655E+02   3.43614E+02   3.43614E+02
 3.83342177091E-01 6.33819338517E+14   5.15490E+34   7.69322E-06   3.83350E-01   4.26902E-01   3.39775E-01   1.20514E+01   3.29994E+02   3.42045E+02   3.42045E+02
 3.77810651345E-01 6.23869613157E+14   4.87451E+34   7.86662E-06   3.77819E-01   4.21292E-01   3.34322E-01   1.21412E+01   3.28399E+02   3.40540E+02   3.40540E+02
 3.72551778982E-01 6.14452497972E+14   4.60930E+34   8.03717E-06   3.72560E-01   4.15957E-01   3.29139E-01   1.22284E+01   3.26868E+02   3.39097E+02   3.39097E+02
 3.67551284337E-01 6.05536539633E+14   4.35838E+34   8.20475E-06   3.67559E-01   4.10882E-01   3.24212E-01   1.23128E+01   3.25400E+02   3.37712E+02   3.37712E+02
 3.62795771871E-01 5.97092487043E+14   4.12089E+34   8.36922E-06   3.62804E-01   4.06055E-01   3.19528E-01   1.23945E+01   3.23990E+02   3.36385E+02   3.36385E+02
 3.58272662058E-01 5.89093111946E+14   3.89604E+34   8.53048E-06   3.58281E-01   4.01463E-01   3.15074E-01   1.24736E+01   3.22638E+02   3.35112E+02   3.35112E+02
 3.53970133004E-01 5.81513046690E+14   3.68311E+34   8.68841E-06   3.53979E-01   3.97094E-01   3.10838E-01   1.25501E+01   3.21341E+02   3.33892E+02   3.33892E+02
 3.49877066196E-01 5.74328635531E+14   3.48142E+34   8.84293E-06   3.49886E-01   3.92936E-01   3.06809E-01   1.26241E+01   3.20098E+02   3.32722E+02   3.32722E+02
 3.45982997117E-01 5.67517800048E+14   3.29032E+34   8.99396E-06   3.45992E-01   3.88980E-01   3.02977E-01   1.26955E+01   3.18906E+02   3.31602E+02   3.31602E+02
 3.42278069219E-01 5.61059915434E+14   3.10923E+34   9.14143E-06   3.42287E-01   3.85215E-01   2.99332E-01   1.27645E+01   3.17764E+02   3.30528E+02   3.30528E+02
 3.38752992033E-01 5.54935698479E+14   2.93758E+34   9.28527E-06   3.38762E-01   3.81632E-01   2.95864E-01   1.28311E+01   3.16669E+02   3.29500E+02   3.29500E+02
 3.35399002013E-01 5.49127104296E+14   2.77487E+34   9.42545E-06   3.35408E-01   3.78223E-01   2.92566E-01   1.28954E+01   3.15621E+02   3.28516E+02   3.28516E+02
 3.32207826916E-01 5.43617232780E+14   2.62060E+34   9.56192E-06   3.32217E-01   3.74978E-01   2.89428E-01   1.29573E+01   3.14617E+02   3.27574E+02   3.27574E+02
 3.29171652403E-01 5.38390242105E+14   2.47432E+34   9.69465E-06   3.29181E-01   3.71890E-01   2.86444E-01   1.30170E+01   3.13655E+02   3.26672E+02   3.26672E+02
 3.26283091684E-01 5.33431270374E+14   2.33561E+34   9.82363E-06   3.26293E-01   3.68951E-01   2.83605E-01   1.30745E+01   3.12735E+02   3.25810E+02   3.25810E+02
 3.23535156958E-01 5.28726362927E+14   2.20407E+34   9.94884E-06   3.23545E-01   3.66156E-01   2.80905E-01   1.31298E+01   3.11855E+02   3.24985E+02   3.24985E+02
 3.20921233486E-01 5.24262406526E+14   2.07931E+34   1.00703E-05   3.20931E-01   3.63496E-01   2.78337E-01   1.31830E+01   3.11013E+02   3.24196E+02   3.24196E+02
 3.18435055105E-01 5.20027068083E+14   1.96100E+34   1.01880E-05   3.18445E-01   3.60965E-01   2.75894E-01   1.32341E+01   3.10208E+02   3.23442E+02   3.23442E+02
 3.16070682047E-01 5.16008739213E+14   1.84879E+34   1.03019E-05   3.16081E-01   3.58559E-01   2.73572E-01   1.32833E+01   3.09438E+02   3.22721E+02   3.22721E+02
 3.13822479894E-01 5.12196484437E+14   1.74238E+34   1.04121E-05   3.13833E-01   3.56270E-01   2.71365E-01   1.33305E+01   3.08703E+02   3.22033E+02   3.22033E+02
 3.11685100564E-01 5.08579994356E+14   1.64147E+34   1.05185E-05   3.11696E-01   3.54093E-01   2.69266E-01   1.33758E+01   3.08000E+02   3.21376E+02   3.21376E+02
 3.09653464185E-01 5.05149541732E+14   1.54579E+34   1.06213E-05   3.09664E-01   3.52024E-01   2.67272E-01   1.34192E+01   3.07330E+02   3.20749E+02   3.20749E+02
 3.07722742767E-01 5.01895941849E+14   1.45507E+34   1.07205E-05   3.07733E-01   3.50058E-01   2.65377E-01   1.34608E+01   3.06690E+02   3.20151E+02   3.20151E+02
 3.05888344558E-01 4.98810515171E+14   1.36906E+34   1.08161E-05   3.05899E-01   3.48189E-01   2.63577E-01   1.35007E+01   3.06079E+02   3.19580E+02   3.19580E+02
 3.04145899996E-01 4.95885053713E+14   1.28755E+34   1.09081E-05   3.04157E-01   3.46414E-01   2.61867E-01   1.35389E+01   3.05497E+02   3.19036E+02   3.19036E+02
 3.02491248185E-01 4.93111789210E+14   1.21030E+34   1.09966E-05   3.02502E-01   3.44728E-01   2.60244E-01   1.35754E+01   3.04942E+02   3.18517E+02   3.18517E+02
 3.00920424791E-01 4.90483364524E+14   1.13710E+34   1.10817E-05   3.00932E-01   3.43127E-01   2.58703E-01   1.36104E+01   3.04413E+02   3.18024E+02   3.18024E+02
 2.99429650318E-01 4.87992806443E+14   1.06776E+34   1.11635E-05   2.99441E-01   3.41608E-01   2.57240E-01   1.36437E+01   3.03910E+02   3.17554E+02   3.17554E+02
 2.98015319678E-01 4.85633501328E+14   1.00210E+34   1.12419E-05   2.98027E-01   3.40166E-01   2.55853E-01   1.36756E+01   3.03431E+02   3.17106E+02   3.17106E+02
 2.96673992004E-01 4.83399171810E+14   9.39925E+33   1.13170E-05   2.96685E-01   3.38799E-01   2.54538E-01   1.37060E+01   3.02975E+02   3.16681E+02   3.16681E+02
 2.95402381643E-01 4.81283856009E+14   8.81080E+33   1.13890E-05   2.95414E-01   3.37502E-01   2.53291E-01   1.37350E+01   3.02541E+02   3.16276E+02   3.16276E+02
 2.94197349300E-01 4.79281887532E+14   8.25401E+33   1.14579E-05   2.94209E-01   3.36274E-01   2.52110E-01   1.37626E+01   3.02129E+02   3.15892E+02   3.15892E+02
 2.93055894247E-01 4.77387877708E+14   7.72736E+33   1.15238E-05   2.93067E-01   3.35110E-01   2.50991E-01   1.37890E+01   3.01738E+02   3.15527E+02   3.15527E+02
 2.91975146607E-01 4.75596698381E+14   7.22941E+33   1.15867E-05   2.91987E-01   3.34007E-01   2.49931E-01   1.38140E+01   3.01367E+02   3.15181E+02   3.15181E+02
 2.90952360610E-01 4.73903466705E+14   6.75878E+33   1.16467E-05   2.90964E-01   3.32964E-01   2.48929E-01   1.38378E+01   3.01015E+02   3.14852E+02   3.14852E+02
